album_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
6SZwj6cjc8JQbkrr8cbIUn,0.43,0.697,0.401,-10.216,0.0543,108.996,0.478
0So2sgVa8aJiARPl2P29u2,0.85,0.725,0.446,-8.958,0.0287,90.024,0.311
2zmo93xTzKTP0lztR9iy9H,0.931,0.814,0.484,-10.962,0.299,116.024,0.658
2mlGPkAx4kwF8Df0GlScsC,0.723,0.705,0.373,-9.066,0.0384,120.046,0.551
3ApAsbQP7d5GlFwwdExaTY,0.247,0.575,0.446,-7.802,0.0296,68.985,0.259
2vjWwSuvGgz8DQNMWF92A7,0.00396,0.687,0.89,-5.99,0.0344,113.06,0.854
3rtxtyV2ldcPza0NVO1dAk,0.323,0.754,0.581,-7.338,0.0433,122.012,0.745
6oggsRNOPAAAaXEGHdLuWo,0.856,0.691,0.367,-6.339,0.0437,175.891,0.888
4PRYkxqoD1wiyIVmwegAjg,0.0248,0.588,0.929,-3.555,0.0637,138.95,0.874
0K1KOCeJBj3lpDYxEX9qP2,0.00189,0.582,0.882,-4.256,0.0355,107.034,0.507
06UOL50QYtDR5l06ohu88m,0.12,0.657,0.597,-9.919,0.168,89.606,0.486
1VCHNbal0VtE2plMRzvoho,0.26,0.684,0.774,-5.951,0.188,84.991,0.448
0jjQAZ5hC7BwDOLe3W947v,0.0035,0.738,0.839,-5.839,0.0285,113,0.645
6ceGerY7kDIMy56ztaQcEE,0.715,0.872,0.52,-6.928,0.0618,131.918,0.736
1pO9qQMdHak84BsqNCiNr1,0.716,0.653,0.569,-5.018,0.0349,150.216,0.44
3eOJeSvzKovpr9zAkk56zk,0.577,0.448,0.606,-4.565,0.0609,121.15,0.483
2iTma4kHADFcTlR24R8hIP,0.743,0.7,0.448,-13.016,0.11,153.992,0.731
6TGapnqEUkkSBanKyn5qYy,0.000791,0.546,0.823,-4.979,0.0608,147.951,0.569
2fvdQ1Uq04qE4RLN5zKBXS,0.42,0.926,0.549,-6.63,0.0935,123.044,0.666
4fSc3OE9ouDmVdcZiNNbzD,0.0433,0.705,0.792,-6.524,0.0343,119.992,0.934
1w4JPzTHAcMdAGzDLzXCjF,0.901,0.365,0.54,-7.615,0.0363,146.362,0.49
06zIBqLC9ZRm5i0iMf0kHI,0.315,0.341,0.726,-7.271,0.0699,167.949,0.63
0Z0iYAtKYswMYXL3kJtdO4,0.02,0.526,0.637,-5.052,0.0656,176.1,0.765
1hPajXXDa8dfTFABNZe2Ri,0.00399,0.696,0.853,-4.122,0.237,92.976,0.685
0Ll1Ree2ozBuTEx7gRFHS2,0.619,0.482,0.382,-8.02,0.0243,94.271,0.177
3ipBfiumiEAlrz3XnzpjM9,0.0258,0.381,0.894,-8.638,0.037,205.528,0.797
2l0KF9ywMxglacqb7Nb6H0,0.116,0.649,0.457,-12.904,0.0394,90.071,0.795
7E86A7KZ9V738OF7Gd3pA6,0.000157,0.679,0.77,-5.179,0.0472,127.993,0.299
1v3SmmWX9lHYGXii4SmAts,0.014,0.42,0.882,-4.383,0.0466,171.07,0.643
5rG6CAVA1vmZJG8RYwJdB1,0.471,0.836,0.45,-13.492,0.0704,116.908,0.699
44wfBT84NAT8ZU2Qd181kg,0.526,0.576,0.606,-10.787,0.037,148.051,0.565
6lLfpVMhkpcldW9tTY7dIN,0.184,0.687,0.551,-6.299,0.229,162.121,0.558
17xBNfXK8l8aJ12yVAHuuj,0.884,0.759,0.158,-14.102,0.0397,110.037,0.49
1qmJbXpVLydNcN6VTR40GU,0.175,0.568,0.706,-8.679,0.0837,184.126,0.896
4CKhBJA0G3eqgyff3DaM5V,0.32,0.714,0.715,-7.086,0.0815,160.009,0.678
1ehFB58uEXh2SnM69VmhFl,0.142,0.63,0.697,-8.783,0.18,172.029,0.564
4CM00vRilanLnW0FZNVUdQ,0.00259,0.493,0.836,-3.772,0.0597,174.949,0.794
5E3dnzgxLurqcxyzP0vrAl,0.158,0.681,0.683,-6.444,0.0287,120.027,0.64
6HiK9qjs0yuppNUR1LB9Bh,0.637,0.514,0.472,-11.16,0.0325,159.952,0.14
6ZMkpxXf3OVDFSfXKRsSI9,0.946,0.83,0.159,-14.461,0.0383,104.95,0.189
1ojRut8t5RYNmLpJkEdJ3V,0.00659,0.758,0.669,-3.838,0.0388,132.51,0.96
2E2Dm4VSldTme94BFvnR10,0.164,0.654,0.772,-6.658,0.0643,160.067,0.548
5vcWzO1FECzl3ANg0WaeJY,0.337,0.638,0.977,-5.363,0.162,96.973,0.538
2tQwRXBocyCGlDUpa4fRSa,0.0714,0.561,0.704,-7.036,0.0396,122.813,0.572
4Z6zEkJKFl5QmIjeC3KNTO,0.275,0.456,0.553,-6.328,0.131,103.356,0.404
3MsEEf1w2P6X7j39yj2fkn,0.0179,0.785,0.7,-5.81,0.0406,122.031,0.296
2OSNxagqs5hJ6QLssQoJ9i,0.143,0.633,0.856,-4.66,0.0583,76.006,0.892
1wrBv6Co3ES9Y3x7cAeABt,0.143,0.633,0.856,-4.66,0.0583,76.006,0.892
34CPFWfKyXjisdNKtaMzvn,0.0427,0.799,0.797,-5.157,0.0624,79.088,0.758
1ADNK53u8FtYUhkDt6WWNV,0.0179,0.785,0.7,-5.81,0.0406,122.031,0.296
77JaHeYwlxdJeVOFi6XHaE,0.0139,0.747,0.649,-5.807,0.0419,91.05,0.774
6UDWsYMH2MwgOxOS9sbnwC,0.41,0.788,0.705,-10.558,0.255,89.047,0.112
5PNAsZO4JyT8fUzPyKwZ7W,0.393,0.433,0.46,-11.865,0.0345,129.834,0.218
2rwGOZFpuRUxLbA8wIv6Mj,0.649,0.357,0.626,-8.816,0.0312,192.887,0.484
7D7GfQJaJlMZtNpB7XKwxe,0.496,0.777,0.619,-8.599,0.0625,90.029,0.902
3WPVBSy8gle6w4Fd0NVXS7,0.286,0.148,0.808,-6.888,0.0869,175.505,0.342
5nrCLS4TdKGsB1f0Z7P7XC,0.203,0.674,0.585,-5.407,0.0429,129.794,0.51
5C22HmHDPKBav6xKxBzsna,0.203,0.674,0.585,-5.407,0.0429,129.794,0.51
3RCdw2gmZx3RaR1WlvUAQv,0.203,0.674,0.585,-5.407,0.0429,129.794,0.51
3kBXJ4S6RsJV0tpo1jnCFf,0.241,0.569,0.79,-10.065,0.188,195.875,0.15
1PX6pTXmfOSW5f7fMQFqo5,0.203,0.674,0.585,-5.407,0.0429,129.794,0.51
6P1dhVvRHL9TI9yA2UIpuW,0.203,0.674,0.585,-5.407,0.0429,129.794,0.51
6hIANthywvmpZhzqE21Kll,0.203,0.674,0.585,-5.407,0.0429,129.794,0.51
1ahn6p62bNet6CYmFuIZ7s,0.203,0.674,0.585,-5.407,0.0429,129.794,0.51
6YCoEXslhHQCcQeWWvzbJJ,0.234,0.655,0.772,-8.047,0.148,95.009,0.324
7h5vsnbygkp5EXbRgXQ77g,0.000373,0.53,0.79,-4.446,0.0369,84.011,0.577
6egCRoFoyITQsNDmZPzq1q,0.0248,0.588,0.929,-3.555,0.0637,138.95,0.874
0b4m6mMTEiChttt6d6IJzv,0.0392,0.544,0.967,-3.555,0.0825,169.971,0.53
08usYkCKcKehKFXBLSlOGP,0.76,0.662,0.458,-11.633,0.0438,136.201,0.475
4NOZKKJKMWhQCe5uyQNNG6,0.00327,0.551,0.736,-5.75,0.037,95.09,0.588
21xou84xCn9aF4z2N5GzTK,0.000965,0.524,0.831,-5.25,0.0287,93.003,0.458
1qPDHJnx0JuDOE7QnpjtAd,0.852,0.599,0.299,-11.777,0.0301,64.576,0.202
78VXkLNQNDNu1fp1SfNVRo,0.954,0.601,0.432,-9.084,0.474,72.574,0.769
7aBabXtaoag0AjkeCO3YR1,0.834,0.368,0.398,-8.445,0.0483,79.833,0.159
4t7oADdMTLo3Kj5asx1IL3,0.505,0.735,0.354,-11.587,0.0325,87.986,0.0361
7zUUDbswUqzB3wBybN9jun,0.0526,0.45,0.771,-9.786,0.169,168.798,0.941
0f7lwf8ahLohUsaMW8GZIO,0.0023,0.608,0.679,-10.808,0.0314,128.024,0.961
3MSyd7cyjSHIvYeubisAwG,0.00198,0.592,0.929,-3.9,0.108,103.047,0.501
7EbVnljEpnmQT4JoeNY8cO,0.0604,0.591,0.659,-7.591,0.0393,109.98,0.159
3mU9L9qqhMxRbXgMXUncig,0.0971,0.588,0.702,-6.369,0.08,187.965,0.24
65vHYDVPMWlYMgLV2g1Gip,0.0735,0.634,0.704,-7.027,0.3,165.1,0.644
0qeFBSpgOZYIHvl65QuOjc,0.862,0.38,0.789,-4.408,0.0665,119.674,0.701
6M8qU2rDpeRQLE88DF2xtq,0.0085,0.688,0.738,-4.831,0.0404,111.013,0.251
5WjZ5G7ZLFXASnahZ8Augr,0.674,0.737,0.715,-6.809,0.374,141.997,0.285
0YQLJDhHVQfZJZmHlml15F,0.0123,0.746,0.882,-2.902,0.199,92.968,0.695
4Tm2TkKTe23pgMXMzOK4Z2,0.365,0.418,0.806,-5.715,0.0394,96.287,0.487
37jGkLfWgFmGbyccWQDoO2,0.32,0.714,0.715,-7.086,0.0815,160.009,0.678
3uEx77R6b16SAltboKfQjh,0.183,0.671,0.748,-6.478,0.0269,131.981,0.708
1j717HdHFPFwbBEAk2kwJQ,0.00247,0.492,0.939,-3.501,0.118,166.03,0.484
22YQuV0PrN0Jc8WC5uM2mk,0.033,0.742,0.603,-5.756,0.0328,95.991,0.793
7FT4NZqCkyIUw0hFErVRha,0.033,0.742,0.603,-5.756,0.0328,95.991,0.793
4MfwHsYfRLzzbx3TJS5Yks,0.0828,0.748,0.853,-4.548,0.0367,130.052,0.765
2dQkCBUasJzLfNjSumrRDd,0.203,0.829,0.72,-5.727,0.141,96.051,0.835
