album_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
4iZ4pt7kvcaH6Yo8UoZ4s2,0.141,0.559,0.551,-7.231,0.132,143.008,0.392
2J6OF7CkpdQGSfm1wdclqn,0.774,0.583,0.344,-8.765,0.0559,65.203,0.581
1Qrg8KqiBpW07V7PNxwwwL,0.0521,0.644,0.735,-5.747,0.0391,88.98,0.418
1xK59OXxi2TAAAbmZK0kBL,0.453,0.571,0.544,-10.613,0.0299,132.052,0.216
0JXXNGljqupsJaZsgSbMZV,0.0267,0.684,0.607,-8.127,0.1,81.001,0.498
5fEB6ZmVkg63GZg9qO86jh,0.0199,0.595,0.678,-5.18,0.0335,117.067,0.259
6WzRpISELf3YglGAh7TXcG,0.0569,0.855,0.678,-6.276,0.189,99.029,0.852
3azJifCSqg9fRij2yKIbWz,0.157,0.645,0.534,-10.8,0.0479,105.02,0.463
3pXF1nA74528Edde4of9CC,0.223,0.765,0.356,-5.556,0.195,96.991,0.189
2GAhgAjOhEmItWLfgisyOn,0.425,0.698,0.546,-7.234,0.0559,145.044,0.335
5LrN7yUQAzvthd4QujgPFr,0.544,0.571,0.458,-9.283,0.0258,132.025,0.299
7zFXmv6vqI4qOt4yGf3jYZ,0.422,0.658,0.294,-8.533,0.0321,74.038,0.358
7MXVkk9YMctZqd1Srtv4MB,0.141,0.679,0.587,-7.015,0.276,186.003,0.486
3XgGQ1wjo5khvq2UImjyNF,0.428,0.617,0.378,-8.54,0.0315,141.967,0.22
2LBqCSwhJGcFQeTHMVGwy3,0.111,0.586,0.525,-7.163,0.0615,133.629,0.508
5PvVkf1Yuq3XyMqqjPiKPd,0.477,0.602,0.5,-9.377,0.298,132.798,0.395
0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,0.73,-5.934,0.0598,171.005,0.334
5gDWsRxpJ2lZAffh5p7K0w,0.353,0.715,0.47,-12.638,0.0772,89.965,0.426
7fBv7CLKzipRk6EC6TWHOB,0.0671,0.585,0.564,-7.063,0.0515,113.003,0.137
3OHfY25tqY28d16oZczHc8,0.0543,0.644,0.728,-5.75,0.0351,88.993,0.43
3a3dQOO19moXPeTt2PomoT,0.546,0.429,0.371,-9.017,0.0327,137.134,0.135
2fXwCWkh6YG5zU1IyvQrbs,0.131,0.692,0.684,-7.364,0.155,112.912,0.406
73RbfOTJIjHzi2pcVHjeHM,0.061,0.74,0.758,-5.851,0.0921,171.925,0.757
0W4NhJhcqKCqEP2GIpDCDq,0.064,0.688,0.519,-4.285,0.0283,116.714,0.318
5NijSs5dAwaIybq1GaRTIe,0.711,0.689,0.394,-10.102,0.065,117.489,0.382
0oufSLnKQDoBFX5mgkDCgR,0.231,0.764,0.394,-8.559,0.152,92.009,0.465
2IlT65thKQQw248mhk2PjQ,0.65,0.726,0.353,-10.273,0.105,137.66,0.503
1N8TTK1Uoy7UvQNUazfUt5,0.0464,0.73,0.785,-6.512,0.0554,94.094,0.649
15EPc80XuFrb2LmOzGjuRg,0.133,0.728,0.607,-8.417,0.132,129.938,0.445
43PuMrRfbyyuz4QpZ3oAwN,0.107,0.525,0.433,-10.598,0.185,160.108,0.276
