track_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
6mAuw7R6u4vlNneuBgnC8K,0.00206,0.382,0.749,-5.683,0.0379,151.883,0.0572
7brQHA2CgQpcMBiOlfiXYb,0.00892,0.464,0.701,-5.693,0.0411,83.996,0.356
0yyyapBjZ9Ek1vcpp3e9bj,0.0904,0.491,0.944,-2.879,0.0558,150.105,0.493
2QjOHCTQ1Jl3zawyYOpxh6,0.0495,0.612,0.807,-2.81,0.0336,124.053,0.398
6cWpj6c5pNZYEk5KYjNBji,0.0156,0.49,0.79,-4.833,0.0699,149.903,0.285
4V37tyDu9CtqYshvrgLke4,0.00102,0.622,0.831,-4.819,0.0273,101.03,0.363
3vooOYHU0Fi3ViCG7Ozh0Y,0.0303,0.557,0.845,-2.926,0.0346,123.997,0.508
2Kt1XplPBQBsDKQDa6TssB,0.0553,0.568,0.871,-3.453,0.0308,119.99,0.374
4BDnfINTlfJPmLp1UV6CXt,0.0071,0.519,0.897,-3.167,0.0276,88.113,0.335
1NA2NvAgCB4EfcBC8OHfuj,0.0339,0.394,0.855,-4.204,0.0554,175.902,0.316
4MUvaBckjtNGlxX1IuHDPW,0.0297,0.563,0.882,-4.152,0.0639,123.945,0.469
2KvhVhBR7MIMZUQNRBiY2k,0.52,0.491,0.263,-11.793,0.0305,119.231,0.195
44wXefe8WB9Fd6xwtmAwbR,1.83e-05,0.401,0.953,-4.276,0.0752,174.217,0.555
0M5xRyxGpFFDfzN2x0wdpH,7.64e-05,0.473,0.741,-5.299,0.0305,84.974,0.487
3yIUusX4NApzRSAkxZFrJg,0.00015,0.556,0.91,-3.92,0.0387,126.252,0.578
56ucsSaTrjiQaokbbDASOR,4.39e-05,0.441,0.981,-3.545,0.0714,128.234,0.389
05TcC5ZN9rp8Glx8A9C2Nd,0.000359,0.262,0.885,-5.288,0.0831,166.645,0.178
4dVbhS6OiYvFikshyaQaCN,6.2e-05,0.398,0.927,-4.212,0.0567,77.106,0.311
48PrL49eJ5P15yTxjK0oW6,0.0053,0.308,0.873,-6.47,0.067,170.42,0.62
4JWRyetq4ALHAXm9ByOOEg,3.95e-05,0.462,0.967,-4.665,0.0553,144.098,0.61
2ceA7CWWx6yIHdzppN8nLF,0.00825,0.267,0.316,-8.272,0.0372,76.066,0.227
