album_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
3FU6urUVsgXa6RBuV2PdRk,0.275,0.765,0.556,-6.417,0.0512,111.033,0.274
1YLJVmuzeM2YSUkCCaTNUB,0.0416,0.492,0.81,-5.315,0.0847,149.954,0.245
5r5cp9IpziiIsR6b93vcnQ,0.257,0.871,0.701,-5.594,0.0458,126.975,0.716
4qu63nuBpdn0qHUHuObEj1,0.00226,0.721,0.738,-4.77,0.0403,119.976,0.637
0ITaSRuI0L1RNL7ZNYTTi7,0.0867,0.602,0.824,-4.087,0.0547,125.147,0.442
51FvjPEGKq2zByeeEQ43V9,0.0313,0.775,0.677,-4.703,0.0442,124.011,0.698
7vGuf3Y35N4wmASOKLUVVU,0.256,0.52,0.761,-3.093,0.0853,141.971,0.286
14OxJlLdcHNpgsm4DRwDOB,0.0702,0.729,0.65,-3.539,0.0313,110.02,0.347
1N8klHEbZ0bFOHnMVs8C9S,0.0899,0.732,0.464,-9.722,0.0527,149.954,0.647
6FZDfxM3a3UCqtzo5pxSLZ,0.297,0.752,0.488,-7.05,0.0705,136.041,0.533
7y9iMe8SOB6z3NoHE2OfXl,0.0604,0.675,0.751,-3.539,0.0296,118.384,0.612
360Wr96ywrCQq4kTAJ8Pq6,0.0467,0.576,0.593,-6.024,0.0306,157.993,0.373
0azC730Exh71aQlOt9Zj3y,0.199,0.631,0.927,-2.787,0.0332,123.962,0.465
10xV5l9nhLvFpR8mqzs0bL,0.121,0.912,0.774,-4.673,0.0455,119.966,0.632
6NdnvPwQvZb147DVa4x14h,0.177,0.654,0.62,-5.855,0.0846,146.928,0.653
1gihuPhrLraKYrJMAEONyc,0.000972,0.707,0.924,-2.842,0.031,127.937,0.919
1Lim1Py7xBgbAkAys3AGAG,0.00346,0.723,0.809,-3.081,0.0625,98.007,0.274
2V65y3PX4DkRhy1djlxd9p,0.112,0.612,0.84,-3.145,0.0509,129.042,0.438
6YUTL4dYpB9xZO5qExPf05,0.0211,0.596,0.856,-3.556,0.0346,127.949,0.743
60bbiP93CSxmLibuwvxay9,0.38,0.67,0.559,-5.768,0.0595,146.987,0.567
0lYBSQXN6rCTvUZvg9S0lU,0.0863,0.649,0.716,-5.371,0.0349,99.988,0.163
7BqHUALzNBTanL6OvsqmC1,0.191,0.687,0.792,-2.749,0.0452,100.011,0.671
7ef4DlsgrMEH11cDZd32M6,0.037,0.791,0.862,-3.24,0.11,123.994,0.592
6UW10CbMTvqciT3X3Ldeox,0.382,0.712,0.734,-4.91,0.0238,95.996,0.745
12usPU2WnqgCHAW1EK2dfd,0.0134,0.479,0.898,-4.809,0.169,151.99,0.639
6HZ9VeI5IRFCNQLXhpF4bq,0.00952,0.711,0.906,-2.671,0.0284,125.916,0.824
5WI2ltQIdwgzf1SNE76JyR,0.453,0.444,0.557,-5.476,0.0602,115.058,0.296
6wNeKPXF0RDKyvfKfri5hf,0.22,0.725,0.708,-5.331,0.0756,130.029,0.555
5ln5yQdUywVbf8HhFsOcd6,0.128,0.626,0.423,-6.035,0.0513,95.162,0.571
3cjvqsvvU80g7WJPMVh8iq,0.0764,0.611,0.677,-6.745,0.034,166.04,0.233
3LkWdvgrJtFuM0ZoXKPlpH,0.0114,0.741,0.787,-3.653,0.0373,122.978,0.296
2Foc5Q5nqNiosCNqttzHof,0.0426,0.794,0.811,-8.966,0.038,116.047,0.862
3EGW6TGGbdk6Ys1Y3HU3lj,0.697,0.571,0.481,-7.179,0.0444,113.753,0.0807
5o5akY9xnEk6lpMkD8RwD9,0.27,0.686,0.794,-6.136,0.0385,140.952,0.532
5WZlorRUxgryaweu7kqeHd,0.0119,0.738,0.828,-6.31,0.106,119.985,0.542
4DpNNXFMMxQEKl7r0ykkWA,0.612,0.68,0.729,-5.077,0.0475,123.97,0.446
22dUzMFttcR3uU17NcOAIv,0.0311,0.587,0.924,-5.433,0.0457,140.009,0.509
5jzX4dWVQeBTtfBaXnMRt5,0.0163,0.791,0.713,-3.742,0.254,130.012,0.514
3LGsgpx4TfxhXbr07OFKqs,0.115,0.697,0.529,-8.838,0.0338,155.974,0.486
5H3TCfiw0CQTX1XU7A9TXM,0.381,0.518,0.655,-6.255,0.0826,156.992,0.29
0VO8gYVDSwM1Qdd2GsMoYK,0.0027,0.553,0.659,-7.295,0.0391,120.146,0.105
7MmG8p0F9N3C4AXdK6o6Eb,0.213,0.646,0.823,-4.123,0.0394,128.035,0.418
0DiWol3AO6WpXZgp0goxAV,0.0194,0.613,0.697,-8.618,0.133,122.746,0.476
3u1FiuSpfsgVnekEMXgMwJ,0.24,0.559,0.835,-5.555,0.0424,114.908,0.382
2IO7yf562c1zLzpanal1DT,0.223,0.731,0.58,-7.328,0.0399,119.997,0.319
3fo6DYGktjENCiagUeU9yH,0.058,0.716,0.73,-4.126,0.0364,136.05,0.339
7tr2za8SQg2CI8EDgrdtNl,0.498,0.736,0.795,-3.299,0.0545,104.066,0.511
69kOkLUCkxIZYexIgSG8rq,0.0378,0.81,0.793,-9.404,0.0403,116.05,0.863
1rIKgCH4H52lrvDcz50hS8,0.132,0.694,0.712,-3.923,0.046,98.023,0.799
60eA3QITW5G2D7Woc11uKc,0.379,0.67,0.589,-5.693,0.0873,146.978,0.628
5gWtkdgdyt5bZt9i6n3Kqd,0.0161,0.568,0.692,-4.513,0.0589,92.023,0.577
16nCYYc1lCxCyvaR1lgo0i,9.18E-05,0.552,0.662,-6.225,0.0548,79.973,0.572
2tpfxAXiI52znho4WE3XFA,0.0966,0.736,0.761,-5.449,0.0338,119.999,0.114
7lidXGPXPYLNThITAOTlkK,0.143,0.591,0.585,-6.35,0.0277,110.94,0.324
3kMrazSvILsgcwtidZd1Qd,0.000441,0.674,0.882,-2.771,0.0477,123.016,0.682
6OzUIp8KjuwxJnCWkXp1uL,0.0584,0.736,0.727,-4.642,0.0571,94.048,0.644
5eTaQYBE1yrActixMAeLcZ,0.0378,0.636,0.869,-5.289,0.0412,143.011,0.306
6IpvkngH89cA3hhPC84Leg,0.232,0.561,0.832,-7.661,0.0717,93.991,0.666
1bgKMxPQU7JIZEhNsM1vFs,0.0245,0.739,0.586,-5.079,0.0472,124.026,0.444
2oDqmfa2g8W893LlwJG1qu,0.000242,0.547,0.714,-8.628,0.044,89.996,0.541
4WXFDVe299Po8ih6Np54n2,0.00161,0.445,0.907,-3.894,0.0773,165.069,0.71
7FwWRSAlhfyhbvybdfDUCe,0.453,0.648,0.639,-6.415,0.123,94.033,0.44
5icOoE6VgqFKohjWWNp0Ac,0.0623,0.791,0.565,-3.933,0.0439,99.961,0.181
2DGa7iaidT5s0qnINlwMjJ,0.0214,0.654,0.711,-7.437,0.0383,127.957,0.198
