album_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
2ZRo7axmMPeSVUvDbGkJah,0.661,0.592,0.457,-6.081,0.0603,146.04,0.225
59aL2q2UPYJkgLTSv0WTlB,0.122,0.694,0.684,-5.276,0.0599,100.951,0.334
3ZEno9fORwMA1HPecdLi0R,0.306,0.732,0.855,-4.064,0.0415,106.004,0.221
12cZWGf5ZgLcKubEW9mx5q,0.396,0.546,0.787,-4.023,0.212,100.559,0.497
0EgLxY52mpGsXETyEsgVlP,0.396,0.546,0.787,-4.023,0.212,100.559,0.497
7FET9gtiECWn7llt0sfvtU,0.0671,0.834,0.834,-4.035,0.0591,130.024,0.344
2Ge2ZhznMuO22wIQ9Z5Wql,0.385,0.772,0.759,-4.204,0.0303,137.026,0.137
7IBSffWIu7P2MC7kMwy2FM,0.307,0.877,0.477,-7.379,0.0587,127.023,0.552
2ndnt2oVYvkiQVHtzoIH3k,0.661,0.598,0.457,-6.081,0.0602,146.052,0.225
1l0wPhFZP1kWkZNQrrYrGy,0.258,0.549,0.601,-6.129,0.0852,145.552,0.296
1SyQ6t9RdRBK0QUCS6a797,0.102,0.862,0.642,-13.652,0.101,99.2,0.765
6mz1fBdKATx6qP4oP1I65G,0.00186,0.749,0.605,-9.359,0.086,142.024,0.966
5F5nSQ7YonfTv34rOk9d26,0.372,0.779,0.734,-4.266,0.0297,137.033,0.127
6Ez0uo35BcJ7TaknGDnH5v,0.0133,0.91,0.808,-4.381,0.0441,128.944,0.302
0pHrAAe6sSVDeUeNe5IesY,0.082,0.685,0.882,-4.103,0.296,80.283,0.715
0rc9XLNs7KZXu2ASA3LbL8,0.642,0.834,0.414,-5.978,0.0411,110.048,0.391
2LCGFBu1ej6zt4r1VGPjny,0.515,0.564,0.373,-6.218,0.0408,80.088,0.458
3XVozq1aeqsJwpXrEZrDJ9,0.0025,0.979,0.792,-2.784,0.0388,116.012,0.583
0fLGrGCrbziOu3dnjQMCWS,0.44,0.847,0.714,-4.42,0.115,98.996,0.302
1orU4ewQHS58jTTmdftpdJ,0.209,0.818,0.51,-7.05,0.408,129.057,0.416
3Ty88wqL8nU5Xe6uJBP3XX,0.396,0.546,0.787,-4.023,0.212,100.559,0.497
2d9HJBC4o4K57T1fALgYSC,0.0161,0.906,0.758,-4.632,0.0544,128.939,0.377
4HJJSjvej4QbdnB5d22DQS,0.507,0.807,0.681,-5.612,0.345,98.173,0.571
3bdvu7VVBbFycB9qhr0Syo,0.0517,0.808,0.789,-5.88,0.236,136.01,0.465
6dijMqFUwi7Dfh1aw5IpoL,0.246,0.583,0.676,-4.954,0.238,99.502,0.182
5BrIAfQ3nblPOaYo141KHr,0.0168,0.527,0.665,-7.108,0.164,135.026,0.546
7f1UEGMBMuXfLBP5XANfrW,0.0679,0.927,0.517,-6.489,0.361,95.525,0.616
3vBTFVEcGhmH13Y0Lj9UTN,0.287,0.668,0.883,-4.031,0.279,82.874,0.144
6fMpW2jYiXS6tpx2WgMIys,0.296,0.583,0.51,-4.671,0.365,160.024,0.477
1PvhuffRIPgvOYsa6tPEkr,0.284,0.547,0.748,-3.848,0.414,89.386,0.0876
72nLaDnt2dfxCA3ZAiEC2c,0.105,0.547,0.825,-8.499,0.212,119.743,0.589
2HoDr1yVksl19omOhc1zWy,0.000633,0.725,0.737,-7.453,0.324,77.162,0.219
4IwnQNF6NTuCc4TpsYd8g5,0.0525,0.722,0.655,-6.425,0.137,95.022,0.532
1W9Kx2UNFzjitaZiVTaC2a,0.00689,0.717,0.862,-4.736,0.0539,130.02,0.521
6weDkjtJjPPA2K08ACKLfR,0.0646,0.684,0.834,-4.524,0.0675,164.02,0.538
10bpwNub3VHIvoWJ54wX9a,0.00689,0.717,0.862,-4.736,0.0539,130.02,0.521
7dDLHlyZJBqEWSndlPWyCT,0.514,0.737,0.707,-11.113,0.448,98.121,0.561
5yetwZ4BDlgCzd5typypWU,0.223,0.549,0.72,-3.993,0.27,95.962,0.355
6FV7RivrHzOwu6SkLRRYmY,0.182,0.766,0.525,-10.217,0.192,137.077,0.324
0pUpZhNsr9t4bGm9dhXrjt,0.015,0.908,0.757,-3.889,0.0606,106.031,0.577
63G7cD7QzxFkMAs4szYnDU,0.22,0.804,0.329,-8.711,0.101,121.969,0.214
1PTVGdcYyLFnJKVOkaxQWj,0.352,0.637,0.912,-3.123,0.308,116.919,0.451
6IY2y3kjjLaNbxW4GLiYQR,0.403,0.743,0.787,-4.863,0.348,126.98,0.71
4gQdwwPXSXnDkUh4jYqLoC,0.024,0.592,0.861,-5.177,0.249,90.238,0.794
