track_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
2d8JP84HNLKhmd6IYOoupQ,0.0244,0.746,0.873,-3.803,0.128,148.075,0.817
5V5GpAKuuep9cH2uy9s4CN,0.0256,0.718,0.825,-5.063,0.128,150.103,0.549
0w3Q3VFdrYzo24QUIGnBNy,0.00715,0.545,0.763,-5.528,0.407,126.59,0.752
0W1OeXDPntUH0BeyJtE9UM,0.0324,0.635,0.721,-4.811,0.049,148.064,0.499
4xepGpmo2kv2PgRCrkWoCN,0.062,0.841,0.82,-3.946,0.0995,134.007,0.585
0LiteLBEA32FDQ86YZDUgA,0.689,0.708,0.682,-4.546,0.062,130.028,0.534
3ESSGgWzRf1xvP7G5hHMhB,0.0062,0.748,0.733,-4.421,0.072,93.019,0.291
1WoOzgvz6CgH4pX6a1RKGp,0.00419,0.748,0.741,-3.103,0.0531,128.077,0.537
4STnruOS34o1TIMxi9p6KF,0.146,0.778,0.577,-5.313,0.0512,123.977,0.547
2WB4Iip3WXoQPt940zkAAj,0.00776,0.769,0.895,-3.13,0.216,142.091,0.579
1iuljeYz6ZG3GTJOZZkoer,0.00116,0.746,0.764,-5.066,0.0423,137.98,0.518
1QsILO369FaBdl6V9YNFGl,0.00752,0.697,0.676,-3.51,0.0395,136.01,0.372
3wr2fJ91iGjZlrcDLJ6bYp,0.0407,0.681,0.57,-5.829,0.136,135.121,0.153
1Rue04MVaTGF5hPWHcAHIC,0.222,0.784,0.702,-4.723,0.0865,89.962,0.545
7oLQkZscMC02VZysLkC55T,0.237,0.56,0.706,-4.111,0.0582,150.846,0.757
1MZXUaUI0Dre17fdCFjDC3,0.014,0.755,0.699,-4.193,0.0352,130.028,0.311
3ETQmUSbMuf1HiPOO0L08A,0.367,0.61,0.681,-5.237,0.109,153.986,0.322
1VYDjz8U0cak2ZQdaPh6qJ,0.00417,0.606,0.906,-5.147,0.0431,148.024,0.669
5T6B8Xe5xWbcytXUzEZXGK,0.273,0.658,0.744,-5.237,0.11,138.01,0.411
4ftnxHsCH6HF5GWTLCoTGQ,0.0538,0.489,0.558,-7.037,0.36,120.778,0.325
7ovUcF5uHTBRzUpB6ZOmvt,0.112,0.574,0.935,-2.783,0.0926,166.008,0.836
2CbGuO0LtVvbh3umN3mDwM,0.394,0.577,0.729,-7.113,0.221,180.065,0.692
1JRNrJKTQhfvxII8kkIcAQ,0.43,0.629,0.585,-7.969,0.0572,81.973,0.296
57u1FaZlztApkcT5x5XNuD,0.111,0.596,0.707,-6.825,0.049,133.858,0.262
7i5pytF8KaId51lIzatwdg,0.0246,0.699,0.78,-7.121,0.0505,98.983,0.723
7r9v0CLTunOwlbvdOFFgZo,0.0466,0.517,0.861,-5.745,0.0644,154.963,0.842
74Zrps4gc3qTF49oKpm6zF,0.00838,0.609,0.57,-6.469,0.0303,143.923,0.444
6AJppuCk5EE86paOdDI4yL,0.0374,0.727,0.563,-6.613,0.0272,99.035,0.588
0o9zmvc5f3EFApU52PPIyW,0.166,0.6,0.76,-6.124,0.0452,158.078,0.519
5cpOWNmI84MuUCeciETO64,0.679,0.512,0.462,-8.285,0.0304,114.966,0.228
6BhO28xuLVeaWKVnd1lbCJ,0.00185,0.61,0.884,-5.579,0.0425,132.044,0.808
26e8ujjSpBAHhIY2ymLUT1,0.3,0.589,0.623,-5.926,0.0326,91.87,0.341
3khEEPRyBeOUabbmOPJzAG,0.00207,0.577,0.941,-5.17,0.105,101.921,0.292
5NQbUaeTEOGdD6hHcre0dZ,0.00256,0.618,0.717,-5.738,0.318,190.05,0.603
0GWNtMohuYUEHVZ40tcnHF,0.0663,0.566,0.85,-4.431,0.0599,117.048,0.722
1zNXF2svmdlNxfS5XeNUgr,0.851,0.745,0.219,-11.216,0.0276,88.609,0.635
3oBsEd0mQKKge4HSSt5yV8,0.955,0.592,0.193,-13.876,0.0334,127.381,0.383
4cOtcRXI3a2v1gEsI1Meeo,0.866,0.521,0.124,-13.027,0.0432,170.933,0.377
57Uj1R74XAM4cSkgSWgAF7,0.809,0.691,0.322,-9.852,0.0313,109.399,0.374
6jGnykaS6TkWp15utXSAeI,0.902,0.436,0.141,-13.271,0.0308,76.64,0.146
