track_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
1zNXF2svmdlNxfS5XeNUgr,0.851,0.745,0.219,-11.216,0.0276,88.609,0.635
3oBsEd0mQKKge4HSSt5yV8,0.955,0.592,0.193,-13.876,0.0334,127.381,0.383
4cOtcRXI3a2v1gEsI1Meeo,0.866,0.521,0.124,-13.027,0.0432,170.933,0.377
57Uj1R74XAM4cSkgSWgAF7,0.809,0.691,0.322,-9.852,0.0313,109.399,0.374
6jGnykaS6TkWp15utXSAeI,0.902,0.436,0.141,-13.271,0.0308,76.64,0.146
6Ji1sHZczmntLaTrQa1uLg,0.892,0.593,0.27,-12.142,0.0274,74.652,0.479
1qzHqfvKrZWo6dVHM1dXrj,0.864,0.429,0.18,-10.694,0.0551,170.645,0.485
2ZkMAgbPbyjvLGesNMsAi7,0.903,0.658,0.158,-13.699,0.0284,90.329,0.322
15UqRQqmOTK7DzzA235r3e,0.784,0.675,0.266,-11.966,0.0261,98.802,0.434
4Zd7V4DsYsa2TwBWus5sCM,0.833,0.546,0.0626,-15.877,0.0433,79.763,0.39
19o4ndOJPZoIixFDMfi8C0,0.8,0.661,0.189,-10.23,0.0282,132.243,0.378
7zEnKQaNBcuOSsUZdRnPZM,0.81,0.58,0.351,-11.587,0.0305,150.456,0.355
2V473qE28Ky0ixp2qc7dgz,0.914,0.331,0.138,-16.629,0.0345,85.465,0.164
3HuLpW8NmFFO5GKY8andY2,0.978,0.379,0.0462,-14.719,0.0445,80.641,0.147
24mo3C5GuVTfoL8vedPMqL,0.975,0.544,0.0313,-17.972,0.0501,102.738,0.213
4k4gWXYWlEgSQUacnOsVOo,0.937,0.656,0.119,-12.521,0.0565,124.501,0.397
25BcIcGR7MaOEJ13hqJ5gV,0.829,0.606,0.159,-11.635,0.0271,80.387,0.276
2is3oJ3XSRa4wUbZjthnRe,0.95,0.476,0.115,-14.24,0.0334,119.24,0.124
4whxuTsTgkAaFWBTcR7iQX,0.967,0.544,0.0466,-15.523,0.0655,96.825,0.162
5H76bh5K4OFk5E1tlsXKP8,0.74,0.765,0.317,-15.122,0.0373,116.795,0.491
37cRAssY5trDl9j1l6A56n,0.716,0.733,0.236,-10.652,0.0289,89.555,0.422
63PCpl3dCvQHrybBpciWZ0,0.963,0.524,0.0565,-14.048,0.0429,82.713,0.203
15DYTTO3n6aKf6ptpIcCAR,0.482,0.687,0.36,-9.934,0.0295,73.932,0.362
1QLBKel4BFnZIk6VTQiiqY,0.397,0.737,0.176,-9.871,0.148,112.146,0.367
6FgVde4fAxfYuE4pTI5FJ7,0.976,0.539,0.0327,-13.228,0.0425,83.774,0.274
7wcMDBp3SwDFqA2ypsZOql,0.854,0.759,0.187,-13.213,0.0286,88.628,0.533
6wbvuaX310tEGa5YnDfvrZ,0.916,0.302,0.0993,-16.055,0.0335,84.216,0.163
7fDF3w1iHHTIGLoiicT0YI,0.92,0.704,0.186,-16.372,0.0318,117.408,0.343
4cQsLnEyRdXUMeyKd64L1P,0.915,0.608,0.136,-10.96,0.0391,83.768,0.39
0EZhN101tNagamUzsKATwO,0.927,0.563,0.0778,-15.976,0.0304,92.829,0.153
2FJKQdIBrHf89QIrPuSmoo,0.978,0.484,0.0416,-16.867,0.0384,110.427,0.0557
7ceSE8oIDnbxNxqz96zOrN,0.592,0.45,0.328,-11.505,0.0256,102.906,0.294
2aB2FlRLWGzB7OVkZSkO1I,0.906,0.548,0.203,-14.133,0.0286,107.794,0.188
42oRnhujIPH0uFu0vMTk4a,0.803,0.536,0.442,-12.309,0.0658,82.343,0.639
4yaoi2yin0n9WHaGFPcszQ,0.788,0.356,0.214,-14.146,0.0479,100.416,0.137
1GCYbTsxaEZDpkLyEi4eEy,0.876,0.355,0.0947,-15.899,0.0418,174.615,0.163
6tGYLJ9CeJNXK1VG2zUXcn,0.748,0.484,0.42,-13.136,0.0318,148.95,0.62
08D7UtYnMsUfhXetHntw6C,0.805,0.503,0.108,-17.012,0.0348,101.209,0.139
6u9se77X6undCFRV4Zy013,0.879,0.483,0.175,-13.091,0.0292,88.634,0.182
5WYknefatAUM4DlE491TEo,0.914,0.554,0.139,-15.437,0.0425,72.701,0.208
3VaAlw3WsBDAjvHbqR3wUY,0.837,0.495,0.158,-14.401,0.0372,83.635,0.276
3ErDX5XACrU3Hqeeb8qD0n,0.968,0.567,0.115,-14.13,0.0347,92.199,0.454
1MA7Ass8dizQznjVuoIWSd,0.953,0.744,0.259,-11.915,0.0362,138.414,0.361
6WwcO0vk75oNCWkIBMwT88,0.932,0.571,0.0698,-17.518,0.0335,106.323,0.218
3I09LQbHS3NSU46Ly3tPpR,0.533,0.535,0.548,-6.51,0.037,115.144,0.477
2YaDdaM7JTVqEPUSy9wAPh,0.427,0.403,0.53,-6.094,0.0423,149.191,0.619
2oqZBBjKNMfl9sdhnvCYgB,0.844,0.341,0.359,-9.471,0.0356,185.064,0.301
2m2neHY8NvToPYO1H0XCkq,0.778,0.643,0.427,-9.196,0.0391,116.042,0.577
4wLZ4zPM9c4oe1VV8ejdWV,0.844,0.608,0.37,-9.207,0.0306,127.631,0.349
242x0kB2MzkyihRPUWCzAN,0.552,0.401,0.598,-6.323,0.12,156.894,0.594
2e4FBygHA19B233VpRmEMC,0.21,0.483,0.38,-8.097,0.0391,118.177,0.372
1NnBOnFPFdYJdauawQt5bN,0.288,0.745,0.45,-9.121,0.0354,133.952,0.807
06SUI39R57c9Jm3l3r6Iyo,0.884,0.329,0.245,-12.176,0.0359,112.809,0.14
04XRimcx9QuSrtUvWpdkmS,0.092,0.718,0.624,-5.863,0.0843,132.998,0.297
3axj7Y0XGbrS6PQ2pXFwvC,0.882,0.561,0.366,-10.358,0.0391,110.539,0.306
36iZr5SC8qowAel5GaZSgz,0.536,0.656,0.42,-7.459,0.0442,127.853,0.42
4t5ZKs0xMESWicljP2uBEl,0.9,0.334,0.135,-12.601,0.0359,115.305,0.223
4TTV7EcfroSLWzXRY6gLv6,0.522,0.609,0.435,-7.861,0.285,131.995,0.552
6dr7ekfhlbquvsVY8D7gyk,0.272,0.646,0.439,-10.837,0.818,160.387,0.528
4cxvludVmQxryrnx1m9FqL,0.15,0.698,0.649,-6.764,0.415,180.466,0.568
0NJWhm3hUwIZSy5s0TGJ8q,0.835,0.494,0.237,-10.579,0.0517,95.219,0.625
71X7bPDljJHrmEGYCe7kQ8,0.187,0.74,0.727,-6.253,0.278,101.409,0.792
2G9lekfCh83S0lt2yfffBz,0.684,0.795,0.409,-8.334,0.372,77.879,0.577
6OG1S805gIrH5nAQbEOPY3,0.39,0.607,0.466,-7.562,0.0578,121.741,0.434
3nJYcY9yvKP8Oi2Ml8brXt,0.177,0.68,0.413,-9.41,0.492,158.576,0.383
2yBMVrq96wb9OHbMdBs0lF,0.41,0.854,0.327,-10.834,0.507,131.352,0.688
54Sc7mZQ1RM03STpk4SfaA,0.334,0.688,0.491,-7.494,0.269,79.009,0.737
3dP0pLbg9OfVwssDjp9aT0,0.287,0.707,0.593,-8.581,0.0949,123.772,0.478
1CzeuSrm71wHP9qsjg7p3F,0.68,0.724,0.305,-12.763,0.257,81.874,0.594
7EqpEBPOohgk7NnKvBGFWo,0.124,0.543,0.473,-9.638,0.157,86.534,0.519
27MB0qHaYAZiTlwg25js1Y,0.471,0.723,0.415,-10.394,0.395,159.65,0.581
3lXyAQ0kekAvY5LodpWmUs,0.0691,0.887,0.516,-8.187,0.658,77.977,0.828
6p7jXaTJdpzGWnOJoK2jYr,0.378,0.732,0.643,-8.318,0.474,88.543,0.644
6oF8ueLn5hIl4PRp17sxW6,0.819,0.499,0.2,-10.276,0.0355,137.367,0.185
7m9XR7FquXLP1FewdAcNS9,0.399,0.72,0.666,-6.914,0.328,138.03,0.383
1mGO8rwCE9zk7H06OxcU5m,0.803,0.438,0.373,-9.769,0.0291,77.415,0.274
733tju3KUeatsbjcTRQ04i,0.297,0.76,0.883,-5.397,0.25,98.012,0.51
3D4J0o9w44QKFrBrYrSVJY,0.603,0.515,0.302,-10.882,0.079,114.972,0.277
2sEq2rC3ynYsT49x7utWnd,0.907,0.598,0.221,-10.484,0.0303,106.771,0.274
7qfoq1JFKBUEIvhqOHzuqX,0.211,0.77,0.482,-9.529,0.351,91.994,0.441
2W9u3whoCkQYOUbmnSrHi1,0.169,0.539,0.577,-7.763,0.386,177.787,0.319
3TfKt8mPpdXfQTMfRjHzyz,0.0859,0.607,0.658,-7.762,0.423,87.043,0.513
2qFIJT5hjqaNFA1GKwl9me,0.587,0.552,0.371,-9.426,0.227,81.548,0.587
3s9itRgJYcKhem01P17865,0.464,0.754,0.535,-8.156,0.305,81.035,0.395
2TK2KSrzXD6W01qjXVjNGh,0.271,0.638,0.49,-9.382,0.426,173.552,0.511
05bhmaAD1urZnQMWNd6p3S,0.236,0.745,0.597,-10.422,0.257,102.108,0.842
6KRHMYPIWRgFWlXPgqO2Fp,0.0582,0.753,0.539,-9.117,0.537,99.455,0.519
1WHNqqRWhJVZIdCScFKtl5,0.165,0.884,0.521,-10.216,0.348,134.051,0.425
0Iys022UwQ8xBfxE1g4nWZ,0.631,0.449,0.42,-9.624,0.356,176.989,0.41
4eeN8erNIbW2osT0knz5vT,0.649,0.67,0.436,-8.636,0.364,121.581,0.378
68Ijc4fPmT3P5BN6Vrl2s2,0.505,0.8,0.362,-10.313,0.544,130.14,0.792
1DLfR4MOfLYbV6v3xrmWa8,0.312,0.718,0.484,-10.376,0.523,113.855,0.692
16sNPUamj4vnA7uQLozRpU,0.762,0.453,0.546,-7.952,0.309,171.289,0.398
7D1Lf7N7AtCuEq5PGJtIPz,0.0277,0.751,0.573,-8.539,0.226,141.999,0.538
