track_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
5Avril3IZ26DPVFHbJX8o6,0.316,0.776,0.831,-3.975,0.0457,124.986,0.891
7x9aauaA9cu6tyfpHnqDLo,0.311,0.802,0.832,-4.107,0.0434,124.997,0.89
2D9mO7arRSeHAEHNVAacaA,0.0479,0.846,0.9,-6.179,0.0857,125.041,0.565
6ehWdR7cGDXnT7aKEASJxE,0.0322,0.853,0.824,-3.287,0.103,108.044,0.888
02U9EixxU2Znl6ilsr9mrv,0.000416,0.827,0.761,-5.425,0.154,108.01,0.378
2pLZ6tUBapqlngc9lnYz4M,0.0221,0.865,0.785,-3.313,0.0483,108.031,0.836
3OdIiWnYRHPYtC313Z0Bwy,0.178,0.689,0.539,-7.671,0.048,119.949,0.239
2qg2jy3v50RwfV5FAqG3a2,0.789,0.284,0.495,-11.74,0.0421,86.314,0.26
3Ua0m0YmEjrMi9XErKcNiR,0.0025,0.629,0.733,-5.445,0.0419,120.001,0.362
5Hfnps0jaWFpYg55WOPexG,0.283,0.593,0.446,-7.776,0.0266,102.057,0.168
1fpj1CJPxY3YvN3AMAEYvt,0.115,0.585,0.815,-4.165,0.0565,132.09,0.564
0u8rZGtXJrLtiSe34FPjGG,0.00306,0.623,0.755,-5.386,0.0415,119.957,0.32
6rdkCkjk6D12xRpdMXy0I2,0.51,0.807,0.721,-6.211,0.0508,134.014,0.532
5sdQOyqq2IDhvmx2lHOpwd,0.18,0.776,0.817,-6.018,0.0748,149.921,0.515
58BWnoFDNaeM0vwA0K3fqb,0.0025,0.629,0.733,-5.445,0.0419,120.001,0.362
6EY9e6LyPWmL8hUS5E1P0h,0.00306,0.623,0.755,-5.386,0.0415,119.957,0.32
6D90VTeGEWYX5AkAtjHZh1,0.0226,0.583,0.881,-3.74,0.0327,123.063,0.359
5tDxLjAnkojfnXnjOk6mvh,0.0899,0.604,0.763,-5.22,0.0505,122.018,0.198
0cxhv3PpIkmREXqobuB0zG,0.00018,0.631,0.693,-7.276,0.0327,120.001,0.684
5mg3VB3Qh7jcR5kAAC4DSV,0.662,0.774,0.66,-8.2,0.0328,120.023,0.961
7FbrGaHYVDmfr7KoLIZnQ7,0.435,0.783,0.592,-8.332,0.0331,120.018,0.726
5UwtK1ivT8kvtVmN8886VC,0.11,0.784,0.52,-10.438,0.0316,120.0,0.901
7woEDtme8YkFiWeyiinIjy,0.51,0.807,0.721,-6.211,0.0508,134.014,0.532
0kwrPQkiGVE8KTHalH1uMo,0.18,0.776,0.817,-6.018,0.0748,149.921,0.515
56v8WEnGzLByGsDAXDiv4d,0.108,0.812,0.749,-6.389,0.0397,134.971,0.841
02wk5BttM0QL38ERjLPQJB,0.653,0.752,0.65,-6.683,0.12,134.993,0.532
1wUnuiXMMvhudmzvcCtlZP,0.634,0.525,0.526,-7.03,0.0534,85.274,0.562
5fpyAakgFOm4YTXkgfPzvV,0.466,0.934,0.486,-9.561,0.164,130.052,0.372
3OdIiWnYRHPYtC313Z0Bwy,0.178,0.689,0.539,-7.671,0.048,119.949,0.239
2qg2jy3v50RwfV5FAqG3a2,0.789,0.284,0.495,-11.74,0.0421,86.314,0.26
3Ua0m0YmEjrMi9XErKcNiR,0.0025,0.629,0.733,-5.445,0.0419,120.001,0.362
5Hfnps0jaWFpYg55WOPexG,0.283,0.593,0.446,-7.776,0.0266,102.057,0.168
1fpj1CJPxY3YvN3AMAEYvt,0.115,0.585,0.815,-4.165,0.0565,132.09,0.564
