album_id,acousticness,danceability,energy,loudness,speechiness,tempo,valence
2QjOHCTQ1Jl3zawyYOpxh6,0.0495,0.612,0.807,-2.81,0.0336,124.053,0.398
0ofHAoxe9vBkTCp2UQIavz,0.0644,0.828,0.492,-9.744,0.0276,120.151,0.789
5XeFesFbtLpXzIVDNQP22n,0.136,0.464,0.417,-9.345,0.0256,67.528,0.479
58ge6dfP91o9oXMzq3XkIS,0.00237,0.52,0.852,-5.866,0.0543,140.267,0.234
003vvx7Niy0yvhvHt4a68B,0.00121,0.352,0.911,-5.23,0.0747,148.033,0.236
5UWwZ5lm5PKu6eKsHAGxOk,5.99E-05,0.413,0.881,-5.541,0.0367,158.066,0.364
70LcF31zb1H0PyJoS1Sx1r,0.0097,0.515,0.43,-9.935,0.0372,91.844,0.104
086myS9r57YsLbJpU0TgK9,0.0483,0.691,0.631,-6.478,0.0368,92.004,0.8
4BP3uh0hFLFRb5cjsgLqDh,0.201,0.64,0.663,-7.516,0.0374,132.77,0.663
4h9wh7iOZ0GGn8QVp4RAOB,0.0826,0.704,0.797,-5.927,0.0475,139.994,0.825
6K4t31amVTZDgR3sKmwUJJ,0.0115,0.64,0.74,-4.083,0.0284,116.879,0.785
5FVd6KXrgO9B3JPmC8OPst,0.186,0.548,0.532,-7.596,0.0323,85.03,0.405
6GG73Jik4jUlQCkKg9JuGO,0.0371,0.643,0.849,-5.428,0.0526,162.152,0.903
2tznHmp70DxMyr2XhWLOW0,0.0807,0.636,0.676,-3.442,0.0263,113.98,0.273
6me7F0aaZjwDo6RJ5MrfBD,0.557,0.555,0.216,-11.661,0.0721,79.109,0.504
3dPQuX8Gs42Y7b454ybpMR,0.0039,0.743,0.446,-7.807,0.0683,123.596,0.278
3JvrhDOgAt6p7K8mDyZwRd,0.431,0.484,0.731,-6.694,0.0379,101.654,0.51
5E30LdtzQTGqRvNd7l6kG5,0.0678,0.588,0.521,-9.461,0.0329,85.012,0.337
4bHsxqR3GMrXTxEPLuK5ue,0.127,0.5,0.748,-9.072,0.0363,118.852,0.514
