album_id,album_name,album_artist,album_genre,album_image,album_release_date
6SZwj6cjc8JQbkrr8cbIUn,Oh Klahoma,Jack Stauber,Indie Pop,https://i.scdn.co/image/ab67616d0000b273f65bfa6478ec5f1895d37d8f,2017-03-25
0So2sgVa8aJiARPl2P29u2,Pope Is a Rockstar,SALES,Indie Pop,https://i.scdn.co/image/ab67616d0000b2731138eea74b6d7e06289bedaa,2016-04-20
2zmo93xTzKTP0lztR9iy9H,Coffee,Jack Stauber's Micropop,Indie Pop,https://i.scdn.co/image/ab67616d0000b27348cc1333d5c15fbf25f7c49d,2020-03-08
2mlGPkAx4kwF8Df0GlScsC,Buttercup,Jack Stauber,Indie Pop,https://i.scdn.co/image/ab67616d0000b273f65bfa6478ec5f1895d37d8f,2017-03-25
3ApAsbQP7d5GlFwwdExaTY,Poplar St,Glass Animals,Indie Pop,https://i.scdn.co/image/ab67616d0000b273ec3d15eab5bd77027abc4b23,2016-08-26
2vjWwSuvGgz8DQNMWF92A7,Saturday,Twenty One Pilots,Indie Pop,https://i.scdn.co/image/ab67616d0000b273855653151a790e87dde933d0,2023-10-10
3rtxtyV2ldcPza0NVO1dAk,Level of Concern,Twenty One Pilots,Indie Pop,https://i.scdn.co/image/ab67616d0000b2739d61449f69f96118bfa187a0,2023-10-17
6oggsRNOPAAAaXEGHdLuWo,Pop Game,Yam Haus,Indie Pop,https://i.scdn.co/image/ab67616d0000b2737f6059c2c7f8c0a988cc2beb,2020-10-23
4PRYkxqoD1wiyIVmwegAjg,Pop Off!,Dance Gavin Dance,Indie Pop,https://i.scdn.co/image/ab67616d0000b273b01942b135e9b5548a67ad13,2022-07-29
0K1KOCeJBj3lpDYxEX9qP2,Sleeping With A Friend,Neon Trees,Indie Pop,https://i.scdn.co/image/ab67616d0000b2730eab160a4646bd9789513c6f,2014-01-01
06UOL50QYtDR5l06ohu88m,I Know There's Gonna Be (Good Times),"Jamie xx, Young Thug, Popcaan",Indie Pop,https://i.scdn.co/image/ab67616d0000b273e8ac8f5ea7877d823e5df3ea,2015-06-02
1VCHNbal0VtE2plMRzvoho,Weekend,"Louis The Child, Icona Pop",Indie Pop,https://i.scdn.co/image/ab67616d0000b2737e23338ed400192ad6cde223,2016-07-01
0jjQAZ5hC7BwDOLe3W947v,LOVE + POP,"Current Joys, YOUR ANGEL",Indie Pop,https://i.scdn.co/image/ab67616d0000b273e7c9d377bb84094f1b45cc89,2023-08-04
6ceGerY7kDIMy56ztaQcEE,The Way You Felt,Alec Benjamin,Indie Pop,https://i.scdn.co/image/ab67616d0000b2739d61449f69f96118bfa187a0,2023-10-17
