album_id,album_name,album_artist,album_genre,album_image,album_release_date
2gKQvajkEEaDtkqJ8FJ4uw,Fetty Wap (Deluxe),Fetty Wap,J-pop,https://i.scdn.co/image/ab67616d0000b273de6bd09b07e2b4af4e409f6c,2015-09-25
7yMkS4NCpG0FH6NoaH3F0a,«¢«¤«É«ë,YOASOBI,J-pop,https://i.scdn.co/image/ab67616d0000b273b7d6ca50bf766ad72226290c,2023-04-12
1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,Fujii Kaze,J-pop,https://i.scdn.co/image/ab67616d0000b27322805a1b17e41ae357bd98bc,2020-05-20
6RH1fEIz8HVXregzz5Xp2B,KICK BACK,Kenshi Yonezu,J-pop,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859,2022-10-12
0TyDTzG2zt2tg0wONT9wSU,679 (feat. Remy Boyz),Fetty Wap,J-pop,https://i.scdn.co/image/ab67616d0000b2731769fa68b9643ca67c4d44ce,2015-06-29
16Wxo6FKPXPzU9IApZfdlc,SPECIALZ,King Gnu,J-pop,https://i.scdn.co/image/ab67616d0000b273ef96f1d50c9562c321ef207e,2023-09-01
3ArSFkv4OQOosOvYTrZNIl,Come Away With Me (Super Deluxe Edition),Norah Jones,J-pop,https://i.scdn.co/image/ab67616d0000b273c648a42b5dad72c8aafceeec,2002-02-26
2koUTBXkwUt2uJYv0uezHx,It's Time,Michael Buble,J-pop,https://i.scdn.co/image/ab67616d0000b2735d7d966732bd44ac2a13b614,2005-02-07
4GZFWGyRE8SfRw8wEu3WoL,This Is How We Do It,Montell Jordan,J-pop,https://i.scdn.co/image/ab67616d0000b2730aba996870017b7e8cb5d8f1,1995-01-01
3ArSFkv4OQOosOvYTrZNIl,Come Away With Me (Super Deluxe Edition),Norah Jones,J-pop,https://i.scdn.co/image/ab67616d0000b273c648a42b5dad72c8aafceeec,2002-02-26
