album_id,album_name,album_artist,album_genre,album_image,album_release_date
07w0rG5TETcyihsEIZR3qG,SOS,SZA,R&B,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09
3vi20DRHkqv4HyVg9Rt9wC,Fuck The World,Brent Faiyaz,R&B,https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a,2020-02-07
1nrVofqDRs7cpWXJ49qTnP,SOS,SZA,R&B,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,2022-12-08
4B3FsNFguOEJ4TWEsct83B,Romantic Homicide,d4vd,R&B,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0,2022-07-20
493HYe7N5pleudEZRyhE7R,All I Want Is You,Miguel,R&B,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,2010-11-26
1q4B7r3dzzwkarZ1B9bk9e,PARTYNEXTDOOR,PARTYNEXTDOOR,R&B,https://i.scdn.co/image/ab67616d0000b273090b1f9557a6d23c0817bd88,2013-07-01
5Gm2XKBgnlzd6qTi7LE1z2,Alone At Prom,Tory Lanez,R&B,https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67,2021-12-10
5O0zUvdnJr0RbWzLFneN2i,Popular (Music from the HBO Original Series),The Weeknd,R&B,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,2023-06-02
6eZdwrhB97A3EYx9QppGfl,T R A P S O U L,Bryson Tiller,R&B,https://i.scdn.co/image/ab67616d0000b273d5f3cea8affdca01a0dc754f,2015-10-02
07w0rG5TETcyihsEIZR3qG,SOS,SZA,R&B,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09
3xybjP7r2VsWzwvDQipdM0,Freudian,Daniel Caesar,R&B,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,2017-08-25
2ODvWsOgouMbaA5xf0RkJe,Starboy,The Weeknd,R&B,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,2016-11-25
3rrrTOHiXGzuW4FP7t0O1A,Petals to Thorns,d4vd,R&B,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,2023-05-26
4AdZV63ycxFLF6Hcol0QnB,Starboy,The Weeknd,R&B,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,2016-11-24
0PHMNbcgHfzSUALlfk7wGg,WASTELAND,Brent Faiyaz,R&B,https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,2022-07-08
4yP0hdKOZPNshxUOjY0cZj,After Hours,The Weeknd,R&B,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20
3vi20DRHkqv4HyVg9Rt9wC,Fuck The World,Brent Faiyaz,R&B,https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a,2020-02-07
4AdZV63ycxFLF6Hcol0QnB,Starboy,The Weeknd,R&B,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,2016-11-24
0P3oVJBFOv3TDXlYRhGL7s,Beauty Behind The Madness,The Weeknd,R&B,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,2015-08-28
4zEAsP0RIfbGARdtsgAaUV,The Way It Is,Keyshia Cole,R&B,https://i.scdn.co/image/ab67616d0000b2732cc2323c681b3f84cdc8379a,2005-01-01
76290XdXVF9rPzGdNRWdCh,Ctrl,SZA,R&B,https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25,2017-06-09
07w0rG5TETcyihsEIZR3qG,SOS,SZA,R&B,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09
10WCcQKzXZot04kzENu62Z,What You Heard,Sonder,R&B,https://i.scdn.co/image/ab67616d0000b2739852437d39690c760e108a14,2019-02-22
17dsllSewkPuKbkGWU4chD,Poison,Brent Faiyaz,R&B,https://i.scdn.co/image/ab67616d0000b2731a0d446b811ad07512eb19df,2016-08-03
71MqBkcflJ1Rz1SHo8XSi5,What It Is (Versions),Doechii,R&B,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,2023-03-17
1j5AROUr8rq5xb2CXDIH1c,Lil Boo Thang,Paul Russell,R&B,https://i.scdn.co/image/ab67616d0000b273811b8a1d3649f63af1d5fb65,2023-08-18
03nFfkhtHqQZZqprep3G6r,Lost,Brent Faiyaz,R&B,https://i.scdn.co/image/ab67616d0000b273bf3e522cd3fed64ae064095f,2018-10-19
