album_id,album_name,album_artist,album_genre,album_image,album_release_date
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,R&b,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09
2J6OF7CkpdQGSfm1wdclqn,Clouded,Brent Faiyaz,R&b,https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a,2020-02-07
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,R&b,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,2022-12-08
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,d4vd,R&b,https://i.scdn.co/image/ab67616d0000b273bd1a52b3d5903ee01c216da0,2022-07-20
0JXXNGljqupsJaZsgSbMZV,Sure Thing,Miguel,R&b,https://i.scdn.co/image/ab67616d0000b273d5a8395b0d80b8c48a5d851c,2010-11-26
5fEB6ZmVkg63GZg9qO86jh,Break from Toronto,PARTYNEXTDOOR,R&b,https://i.scdn.co/image/ab67616d0000b273090b1f9557a6d23c0817bd88,2013-07-01
6WzRpISELf3YglGAh7TXcG,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,"The Weeknd, Playboi Carti, Madonna",R&b,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,2023-06-02
3azJifCSqg9fRij2yKIbWz,The Color Violet,Tory Lanez,R&b,https://i.scdn.co/image/ab67616d0000b2730c5f23cbf0b1ab7e37d0dc67,2021-12-10
3pXF1nA74528Edde4of9CC,Don't,Bryson Tiller,R&b,https://i.scdn.co/image/ab67616d0000b273d5f3cea8affdca01a0dc754f,2015-10-02
2GAhgAjOhEmItWLfgisyOn,Low,SZA,R&b,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09
5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,R&b,https://i.scdn.co/image/ab67616d0000b27364fa1bda999f4fbd2b7c4bb7,2023-05-26
7zFXmv6vqI4qOt4yGf3jYZ,Get You (feat. Kali Uchis),"Daniel Caesar, Kali Uchis",R&b,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,2017-08-25
7MXVkk9YMctZqd1Srtv4MB,Starboy,"The Weeknd, Daft Punk",R&b,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,2016-11-25
3XgGQ1wjo5khvq2UImjyNF,ALL MINE,Brent Faiyaz,R&b,https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,2022-07-08
2LBqCSwhJGcFQeTHMVGwy3,Die For You,The Weeknd,R&b,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,2016-11-24
5PvVkf1Yuq3XyMqqjPiKPd,Been Away,Brent Faiyaz,R&b,https://i.scdn.co/image/ab67616d0000b2736a463f436bbf07f3c9e8c62a,2020-02-07
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,R&b,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,2020-03-20
5gDWsRxpJ2lZAffh5p7K0w,Stargirl Interlude,"The Weeknd, Lana Del Rey",R&b,https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a,2016-11-24
7fBv7CLKzipRk6EC6TWHOB,The Hills,The Weeknd,R&b,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,2015-08-28
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,R&b,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09
3a3dQOO19moXPeTt2PomoT,What You Heard,Sonder,R&b,https://i.scdn.co/image/ab67616d0000b2739852437d39690c760e108a14,2019-02-22
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,R&b,https://i.scdn.co/image/ab67616d0000b2734c79d5ec52a6d0302f3add25,2017-06-09
73RbfOTJIjHzi2pcVHjeHM,What It Is (Solo Version),Doechii,R&b,https://i.scdn.co/image/ab67616d0000b2732ee85751f6f503fa9a533eba,2023-03-17
0W4NhJhcqKCqEP2GIpDCDq,Love,Keyshia Cole,R&b,https://i.scdn.co/image/ab67616d0000b2732cc2323c681b3f84cdc8379a,2005-01-01
5NijSs5dAwaIybq1GaRTIe,Poison,Brent Faiyaz,R&b,https://i.scdn.co/image/ab67616d0000b2731a0d446b811ad07512eb19df,2016-08-03
0oufSLnKQDoBFX5mgkDCgR,Trust,Brent Faiyaz,R&b,https://i.scdn.co/image/ab67616d0000b273bf3e522cd3fed64ae064095f,2018-10-19
2IlT65thKQQw248mhk2PjQ,JACKIE BROWN,Brent Faiyaz,R&b,https://i.scdn.co/image/ab67616d0000b27369f63a842ea91ca7c522593a,2022-07-08
1N8TTK1Uoy7UvQNUazfUt5,SPIT IN MY FACE!,ThxSoMch,R&b,https://i.scdn.co/image/ab67616d0000b27360ddc59c8d590a37cf2348f3,2022-12-20
15EPc80XuFrb2LmOzGjuRg,Crew (feat. Brent Faiyaz & Shy Glizzy),"GoldLink, Brent Faiyaz, Shy Glizzy",R&b,https://i.scdn.co/image/ab67616d0000b2737bcd3cd54e8399ae38cc6e64,2017-03-24
43PuMrRfbyyuz4QpZ3oAwN,Exchange,Bryson Tiller,R&b,https://i.scdn.co/image/ab67616d0000b273d5f3cea8affdca01a0dc754f,2015-10-02
1RMJOxR6GRPsBHL8qeC2ux,Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",R&b,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,2017-08-25
