album_id,album_name,album_artist,album_genre,album_image,album_release_date
2Ti79nwTsont5ZHfdxIzAm,?,XXXTENTACION,hip hop,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2018-03-16
4mPlRdH5ZL0BppctJqjVoR,I No Longer Fear the Razor Guarding My Heel (II),$uicideboy$,hip hop,https://i.scdn.co/image/ab67616d0000b273bf0108d97740e68e4d4c4b49,2015-11-03
0YFou4SbS16F4GhSADLDfz,Rolling Papers 2,Wiz Khalifa,hip hop,https://i.scdn.co/image/ab67616d0000b273393d29e88d493bdab8af1617,2018-07-13
1APlzmzWwXz3ElpmdWF5KA,19NaughtyIII,Naughty By Nature,hip hop,https://i.scdn.co/image/ab67616d0000b2739ac4e14fdaf2f24717050239,1993-02-23
4he7R24eqd1EbF9kegiAK8,R&B: From Doo-Wop To Hip-Hop,Ginuwine,hip hop,https://i.scdn.co/image/ab67616d0000b273980caf4dd525a15f08f8cb87,1999-10-08
20O6lfaDAoMhUj5TAvVbb6,Vanilla Ice Is Back! - Hip Hop Classics,Vanilla Ice,hip hop,https://i.scdn.co/image/ab67616d0000b2730d441bd2334134eca6761fc4,2008-11-04
0EguP4tsJurU5I8ocCxdyb,"Beats, Rhymes & Life",A Tribe Called Quest,hip hop,https://i.scdn.co/image/ab67616d0000b273e3b93c08d98f92dc3ab0146a,1996-07-30
7sHrPadM39466NY7DW3s4r,Hip Hop Is Dead (Expanded Edition),Nas,hip hop,https://i.scdn.co/image/ab67616d0000b27310d209ae9f4cf0629696254b,2007-01-23
7gXuElmegVReY7imkb5bf8,Let's Get Free,Dead Prez,hip hop,https://i.scdn.co/image/ab67616d0000b2736be2fd3059b8ebc94eb85e0b,2000-02-08
5kRhn7K8D7txVpIGGWfVCu,Ill Mind of Hopsin 5 - Single,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2734f1dab8c832d312591947bf9,2012-07-17
4kzII0xqiF6lGNVdNwGI3V,You Should've Known,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273ea5648a08f570af3acc1509f,2019-01-28
7eQGtkzCgrIWDOe76E9F8t,CLOUDS (THE MIXTAPE),NF,hip hop,https://i.scdn.co/image/ab67616d0000b273e0783b9378aa3857b8a9d24d,2021-03-26
6kfB3WTt9YOhOZnEIOTbdn,Ill Mind of Hopsin 8,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273b37587783bd6919a3d78b4a7,2016-06-01
5gK2l2LgWY0BA4p9uy27z6,Black On Both Sides,Mos Def,hip hop,https://i.scdn.co/image/ab67616d0000b27389b56f56323925d57b38944d,1999-10-12
0m3fAxrcKWZ7S6sqWQKrUp,Special Occasion,Merkules,hip hop,https://i.scdn.co/image/ab67616d0000b273a85a64dc97fcd76d919e0802,2019-11-01
0MihD70HInk2rDaChdAdEy,Lupe Fiasco's The Cool,Lupe Fiasco,hip hop,https://i.scdn.co/image/ab67616d0000b273c3244d303444a43b933b9bf4,2007-01-01
0Lw8kaquvurphtc65jD8i0,Raw,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273cff5be0280d6082435d3d3f0,2010-11-19
24jAbLMFzCTlIv3kQ94HwK,So Much Fun (Deluxe),Young Thug,hip hop,https://i.scdn.co/image/ab67616d0000b273540db9d6bae7e57baecf8b49,2019-12-20
2V1jMivc4qXr9USVWDwWXg,I Hate Hip-Hop,Tom MacDonald,hip hop,https://i.scdn.co/image/ab67616d0000b27325d0e466b8443c8fce6a795a,2019-12-13
1AWnQi8ho2Ndkv7AF98uf3,Latin World Hip Hop Reloaded 1,Dj Laz,hip hop,https://i.scdn.co/image/ab67616d0000b2730decc16362e399eb37a1b8b8,2009-07-07
1n6ULeNHEteS5eucGgsUSp,Valley Hopefuls,Jordan Ward,hip hop,https://i.scdn.co/image/ab67616d0000b273e0a686f7cfd1a61f1241cd69,2019-06-07
37vODwacugRbv9eutcOQEV,LOST,NF,hip hop,https://i.scdn.co/image/ab67616d0000b27336819bb038d39b12a2afd58f,2021-03-11
0RUMqfsJFQeWpck0iUIFxj,Kumbaya,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2737d2f4355a59725fe215c65c4,2020-06-09
0gqrRf9j8TdNnn0HngmeRA,Pound Syndrome,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b27362349576986480705f46a416,2015-07-24
2VRaclkOdQKv9VyrwaxsvG,The Source Presents Hip Hop Hits Vol. 7,Ludacris,hip hop,https://i.scdn.co/image/ab67616d0000b2738c8b243aa690ca64ff4de6df,2003-01-01
3myGgrJRE2yrEiSxTqf2Et,No Shame,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2738f6740557f1fd6d34679ae7e,2017-11-24
4he7R24eqd1EbF9kegiAK8,R&B: From Doo-Wop To Hip-Hop,Xscape,hip hop,https://i.scdn.co/image/ab67616d0000b273980caf4dd525a15f08f8cb87,1999-10-08
2jrEGBTYJEJFvEfVny3K1y,Be11a Ciao,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b27353ecce1ffc149e652bc0aa5a,2021-05-17
4uUxjHHHhoQJIzv4kpwSBC,This Is East Coast Hip Hop,Fat Joe,hip hop,https://i.scdn.co/image/ab67616d0000b27373b8502d2cfe51e325a47110,2007-03-13
3gjSpSds3mfmaQeddY0tn4,The Source - Hip Hop Hits Vol. 6,Diddy,hip hop,https://i.scdn.co/image/ab67616d0000b273d67dc6b7709d004d343faa53,2002-01-01
7EYST0anheRAgy00ssQrXA,Trap Doin' Numbers 2,Meek Mill,hip hop,https://i.scdn.co/image/ab67616d0000b2736d201a437aa1275361d45937,2016-08-26
0Lw8kaquvurphtc65jD8i0,Raw,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273cff5be0280d6082435d3d3f0,2010-11-19
6ZOXiVL8rmk2ATHJiFJhiD,Rolling Papers,Wiz Khalifa,hip hop,https://i.scdn.co/image/ab67616d0000b273fe3cf32b1320e8ded39d8c74,2011-03-29
0YqZwEyKIvaK8nQLLQ2GWn,Hell's Carol,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2730b33ba543dd12c36857e4581,2018-12-25
4hFVrUV21optQlCdtr3RgR,Lunch Meat,The Alchemist,hip hop,https://i.scdn.co/image/ab67616d0000b27386a98ed711acb8f180c46c65,2018-06-01
5t6smstXej1mG4yeh2Rgn0,Bendecido,Santa Fe Klan,hip hop,https://i.scdn.co/image/ab67616d0000b273be83d1e73024eb98201c0f7e,2019-06-26
3myGgrJRE2yrEiSxTqf2Et,No Shame,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2738f6740557f1fd6d34679ae7e,2017-11-24
7LrzrJKyZDZ0pQVrS62zZm,20 #1¡¯s: Classic Hip Hop,Warren G,hip hop,https://i.scdn.co/image/ab67616d0000b273aef8ef4e8a0a91ec9ff0cc8c,2015-12-18
4ZgM717TK2Odq5kZQ7TAC3,Picasso,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273527334fc2fce0e77c51124f9,2019-05-08
7sHrPadM39466NY7DW3s4r,Hip Hop Is Dead (Expanded Edition),Nas,hip hop,https://i.scdn.co/image/ab67616d0000b27310d209ae9f4cf0629696254b,2007-01-23
2c6s84YTwR9cfncPmB9fNW,? (Deluxe),XXXTENTACION,hip hop,https://i.scdn.co/image/ab67616d0000b273970ce512c6e443586d0be229,2019-09-06
4tI4WJdTN5MzDMRMl2i7VR,Return to the 36 Chambers: The Dirty Version,Ol' Dirty Bastard,hip hop,https://i.scdn.co/image/ab67616d0000b273942b4029fa54f0b44591a133,1995-11-12
2t70lfxoIbKZHKFKN9ZnqE,Hold It Down,Das EFX,hip hop,https://i.scdn.co/image/ab67616d0000b2733c946b69fd47394d3d8a6003,1995-09-26
5sGyPalpUY2tzwsSdq0EMg,Hip Hop Is Dead (Expanded Edition),Nas,hip hop,https://i.scdn.co/image/ab67616d0000b2732474e38ca9623eabe72720fb,2006-12-19
16SMGvTZrwtiJ132g69toP,Knock Madness,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2732af6c30651cf8e8cdd4d70d7,2013-11-26
22rKa9MG4cHIRxvL1Vbs0q,Rolling Papers (Deluxe 10 Year Anniversary Edition),Wiz Khalifa,hip hop,https://i.scdn.co/image/ab67616d0000b273117ad8c714eeb4cf950101d5,2021-03-26
6vVQb6zThLMCP4cUlp0jAZ,Alone With Me,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273c746f7c308109235c3b1677d,2021-03-22
2wKCh8RRJKpAWYPW3Hy9Cn,Ill Mind of Hopsin 4,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2734529e62cfe42b4817e0dbd04,2011-07-18
16SMGvTZrwtiJ132g69toP,Knock Madness,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2732af6c30651cf8e8cdd4d70d7,2013-11-26
2sMONSQ66AehzRX2yVbCZV,The Old Us,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273a7cde347e6c5a35ac7f3b2c8,2019-02-28
2fQdxKmSJ01Q3chYkxvWo9,Donde Estas,Maniako,hip hop,https://i.scdn.co/image/ab67616d0000b2732a1963317ad15a390ea9bcf5,2018-02-13
68kmuDFIwvmeUafSLLEbNk,Hip Hop & Basketball,Queen Latifah,hip hop,https://i.scdn.co/image/ab67616d0000b273a7b1a927b6083ed7b538c449,2020-06-05
6ewq4lMjLMecSrPyemgM3b,Blanco 4,Millyz,hip hop,https://i.scdn.co/image/ab67616d0000b273f15af7b4adca635636bad744,2021-08-20
53QUBvStRZRREyuThX1Fov,Up the Score,DB Omerta,hip hop,https://i.scdn.co/image/ab67616d0000b273a793f3479a894d58d80a5a3b,2021-11-12
29pTiwvAAgbAjrl0g1twLy,Greatest Hits,Fugees,hip hop,https://i.scdn.co/image/ab67616d0000b27308c18e8a38e47817b6e9aed8,2003-03-25
16SMGvTZrwtiJ132g69toP,Knock Madness,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2732af6c30651cf8e8cdd4d70d7,2013-11-26
6EI3q6PeLLmPPPlMxKl59h,Ain't A Damn Thing Changed,Nice & Smooth,hip hop,https://i.scdn.co/image/ab67616d0000b2737eb6adca215f7e3fde525d79,1991-01-01
3myGgrJRE2yrEiSxTqf2Et,No Shame,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2738f6740557f1fd6d34679ae7e,2017-11-24
6LRUE6Wi6z7tvcc2NsybJ1,Not Like You,Merkules,hip hop,https://i.scdn.co/image/ab67616d0000b27353f1299900c5aa4ea9f4faed,2021-07-05
0iaxZKCfjNS0ReR4y8CRSj,Low-Key,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2730d1f73f1622c6554268476b2,2018-12-21
4Ix7UwmfWYjm70AQKqBKvG,90s Hip Hop,The Pharcyde,hip hop,https://i.scdn.co/image/ab67616d0000b27314d604494c58fa485116c408,2020-05-29
0Lw8kaquvurphtc65jD8i0,Raw,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273cff5be0280d6082435d3d3f0,2010-11-19
3LdQddunkiZUWpAxPP6UcT,Hip Hop Locos,Lighter Shade Of Brown,hip hop,https://i.scdn.co/image/ab67616d0000b273b6933cc41866734f4cae94fe,1992-01-01
7zURSbIVZ5vl3NIKkrVRvl,R U Still Down? [Remember Me],2Pac,hip hop,https://i.scdn.co/image/ab67616d0000b2738e0ff34ad21955b6f4da9b86,1997-01-01
41FoQRZr8INsVkHD2uuAvA,New Era,Lando Bando,hip hop,https://i.scdn.co/image/ab67616d0000b2734fb94528fc73b95a654fdcea,2020-12-31
0ENZzpaFgPmr2b8PFkizIr,Hip Hopper (feat. Lil Yachty),Blac Youngsta,hip hop,https://i.scdn.co/image/ab67616d0000b273e7871e7f0ec563001afafe16,2017-04-28
1tIioq32KjWlt5vvk5rhqX,"Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas",Lord Tariq,hip hop,https://i.scdn.co/image/ab67616d0000b273ac00421556783c6bc3b8f704,2019-04-19
3myGgrJRE2yrEiSxTqf2Et,No Shame,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2738f6740557f1fd6d34679ae7e,2017-11-24
1kqFUWqRNLcb1YyTcAG58N,Ultimate Victory,Chamillionaire,hip hop,https://i.scdn.co/image/ab67616d0000b27395e5aa5590d1108e364d12d5,2007-01-01
4ewhE6KeP9FYBSFifStvy9,Covid Mansion,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273a523a95a6ba3b7f18aa90020,2020-04-21
1ExDe4fIz9qX6tkHUWjzEw,Hip Hop 2000,Cam'ron,hip hop,https://i.scdn.co/image/ab67616d0000b27324858c881eb141ea70f5b48d,2017-10-27
7sHrPadM39466NY7DW3s4r,Hip Hop Is Dead (Expanded Edition),Nas,hip hop,https://i.scdn.co/image/ab67616d0000b27310d209ae9f4cf0629696254b,2007-01-23
1tIioq32KjWlt5vvk5rhqX,"Hip Hop 100 Hits - Urban rap & R n B anthems inc. Jay Z, A$ap Rocky, Wu-Tang Clan & Nas",T-Pain,hip hop,https://i.scdn.co/image/ab67616d0000b273ac00421556783c6bc3b8f704,2019-04-19
3OwG3f1rF7t6AaONtMCg9B,The Source - Hip Hop Hits Vol. 6,Jermaine Dupri,hip hop,https://i.scdn.co/image/ab67616d0000b273c067515b34816fbc0133dabd,2002-01-01
3myGgrJRE2yrEiSxTqf2Et,No Shame,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2738f6740557f1fd6d34679ae7e,2017-11-24
6kVdsufIniV3hlXSxKxax2,Bout the Business,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b2733717fd3302c8f6dbb45f9538,2016-06-01
0TEQAfNZdUXSFUW7tSrVa6,"Young, Rich & Dangerous",Kris Kross,hip hop,https://i.scdn.co/image/ab67616d0000b27396b201c33b230ad293ab697b,1996-01-09
2tiNHqikAX6IkKa8MJmlnl,The Night Is Still Young,idontknowjeffery,hip hop,https://i.scdn.co/image/ab67616d0000b2738715f6bcc35991341316df8e,2017-12-01
5ubqQp2WT8OhD1xcelkNto,Ill Mind 6: Old Friend - Single,Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273f9b42c2397ef253e3792ab19,2013-07-18
0oVJ5oDGTE2t03C2RKVEis,Die This Way (feat. Matt Black & Joey Tee),Hopsin,hip hop,https://i.scdn.co/image/ab67616d0000b273b97ff77cd420abdef147f063,2016-06-02
6huPBShibyH3IJg5pPv8Bl,Meesaya Murukku (Original Motion Picture Soundtrack),Hiphop Tamizha,hip hop,https://i.scdn.co/image/ab67616d0000b273542a1fce78b3c44b1b3e8f0b,2017-07-28
5U7ovzAy1H5vydRxNNuSl1,Run Come Save Me,Roots Manuva,hip hop,https://i.scdn.co/image/ab67616d0000b273b2584daa90667f5ca94eef81,2001-08-01
