album_id,album_name,album_artist,album_genre,album_image,album_release_date
1RHa1VdX6lsLbeedgsV1cb,Pop Food,Jack Stauber,indie Pop,https://i.scdn.co/image/ab67616d0000b273f65bfa6478ec5f1895d37d8f,2017-03-25
7ywSMs3G2OWOGVKMqc7KsE,SALES LP,SALES,indie Pop,https://i.scdn.co/image/ab67616d0000b2731138eea74b6d7e06289bedaa,2016-04-20
1PzQlma9FcRRGwMDmJIUyX,Shop: A Pop Opera,Jack Stauber's Micropop,indie Pop,https://i.scdn.co/image/ab67616d0000b27348cc1333d5c15fbf25f7c49d,2020-03-08
1RHa1VdX6lsLbeedgsV1cb,Pop Food,Jack Stauber,indie Pop,https://i.scdn.co/image/ab67616d0000b273f65bfa6478ec5f1895d37d8f,2017-03-25
6qb9MDR0lfsN9a2pw77uJy,How To Be A Human Being,Glass Animals,indie Pop,https://i.scdn.co/image/ab67616d0000b273ec3d15eab5bd77027abc4b23,2016-08-26
2hSjuFOdCYb3k4aWBT587s,Natale Pop,Twenty One Pilots,indie Pop,https://i.scdn.co/image/ab67616d0000b273d32fd89c29749acde40a7d1b,2023-10-24
19ZVSYcPgHDpWMoicFIPbp,timeless pop,Twenty One Pilots,indie Pop,https://i.scdn.co/image/ab67616d0000b273855653151a790e87dde933d0,2023-10-10
7sQ0W3zF7XyggthisBtDJK,Pop Life,Twenty One Pilots,indie Pop,https://i.scdn.co/image/ab67616d0000b2739d61449f69f96118bfa187a0,2023-10-17
6aU3TKTFqsW4cOpgAvMGoA,Pop Game,Yam Haus,indie Pop,https://i.scdn.co/image/ab67616d0000b2737f6059c2c7f8c0a988cc2beb,2020-10-23
6c5mEBiGZdHm0lnzvlbXVW,Jackpot Juicer,Dance Gavin Dance,indie Pop,https://i.scdn.co/image/ab67616d0000b273b01942b135e9b5548a67ad13,2022-07-29
6Xi4dJ9SudvC0ZoE5Krh3G,Pop Psychology,Neon Trees,indie Pop,https://i.scdn.co/image/ab67616d0000b2730eab160a4646bd9789513c6f,2014-01-01
04Duapg2mNlVykd895xcfZ,In Colour,Jamie xx,indie Pop,https://i.scdn.co/image/ab67616d0000b273e8ac8f5ea7877d823e5df3ea,2015-06-02
04aSmz3QKJZDy9llsMz7YU,Weekend,Louis The Child,indie Pop,https://i.scdn.co/image/ab67616d0000b2737e23338ed400192ad6cde223,2016-07-01
5riDOGWr2p8QHq4jcQc2VC,Vamos De Fiesta Pop,Glass Animals,indie Pop,https://i.scdn.co/image/ab67616d0000b273e27c6fdd4d709c533ea4d177,2023-10-20
3UDemeHPCuUKQQa4Rkv8l5,Pop Urbano Para Ninos,Glass Animals,indie Pop,https://i.scdn.co/image/ab67616d0000b27382ca86ba9a968f3aa63f8036,2023-10-20
1RHa1VdX6lsLbeedgsV1cb,Pop Food,Jack Stauber,indie Pop,https://i.scdn.co/image/ab67616d0000b273f65bfa6478ec5f1895d37d8f,2017-03-25
7sQ0W3zF7XyggthisBtDJK,Pop Life,Alec Benjamin,indie Pop,https://i.scdn.co/image/ab67616d0000b2739d61449f69f96118bfa187a0,2023-10-17
0Qp3k0jJpcXnEQIvN5IC17,Duetos Pop,Alec Benjamin,indie Pop,https://i.scdn.co/image/ab67616d0000b27337f19a2bad281061a831299b,2023-10-13
5God4dounbNrQtR8otCSHD,LOVE + POP,Current Joys,indie Pop,https://i.scdn.co/image/ab67616d0000b273e7c9d377bb84094f1b45cc89,2023-08-04
1itqJ1Ss7xUhNq0XoV1Ndk,Phantom Pop,Wild Party,indie Pop,https://i.scdn.co/image/ab67616d0000b273b2b05168e86b0af78ede0d97,2014-10-07
1PzQlma9FcRRGwMDmJIUyX,Shop: A Pop Opera,Jack Stauber's Micropop,indie Pop,https://i.scdn.co/image/ab67616d0000b27348cc1333d5c15fbf25f7c49d,2020-03-08
0hDnsNkxpMDZrpBlGjldtW,Geography,Tom Misch,indie Pop,https://i.scdn.co/image/ab67616d0000b273abe203531eac29d17260966f,2018-04-06
49yiYOnz2UyaNl72xvDERt,Renegade (Pop Version),Big Red Machine,indie Pop,https://i.scdn.co/image/ab67616d0000b273f0b56f34301a37d015cbb678,2021-08-17
7mOVZ70TYfJBZqWsrllPvo,Candy Pop,AWOLNATION,indie Pop,https://i.scdn.co/image/ab67616d0000b27305daa7819c9045803d0a9b2f,2023-09-22
