album_id,album_name,album_artist,album_genre,album_image,album_release_date
3ArSFkv4OQOosOvYTrZNIl,Come Away With Me (Super Deluxe Edition),Norah Jones,jazz,https://i.scdn.co/image/ab67616d0000b273c648a42b5dad72c8aafceeec,2002-02-26
2koUTBXkwUt2uJYv0uezHx,It's Time,Michael Buble,jazz,https://i.scdn.co/image/ab67616d0000b2735d7d966732bd44ac2a13b614,2005-02-07
1kCHru7uhxBUdzkm4gzRQc,Hamilton (Original Broadway Cast Recording),Leslie Odom Jr.,jazz,https://i.scdn.co/image/ab67616d0000b273d72fb5571087bca0a2fed008,2015-09-25
3ArSFkv4OQOosOvYTrZNIl,Come Away With Me (Super Deluxe Edition),Norah Jones,jazz,https://i.scdn.co/image/ab67616d0000b273c648a42b5dad72c8aafceeec,2002-02-26
3kV0i1qqudjf0PGawJ4jck,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),A Tribe Called Quest,jazz,https://i.scdn.co/image/ab67616d0000b2734ba1fe238a517021ebcc2ace,1990-04-17
1kCHru7uhxBUdzkm4gzRQc,Hamilton (Original Broadway Cast Recording),Leslie Odom Jr.,jazz,https://i.scdn.co/image/ab67616d0000b273d72fb5571087bca0a2fed008,2015-09-25
5FKeAFzL4NPXdiySDoUyel,A Valentine For You,Sam Cooke,jazz,https://i.scdn.co/image/ab67616d0000b273fb2e910ed2c2b18cdf38850b,2023-02-10
3rpSksJSFdNFqk5vne8at2,Michael Buble,Michael Buble,jazz,https://i.scdn.co/image/ab67616d0000b273b732a522a686bb304a5d3fdf,2003-02-11
7GaAXgbFSpcJOiLlFGYyOL,Feels Like Home,Norah Jones,jazz,https://i.scdn.co/image/ab67616d0000b27364026be0e09c1beda2f67c32,2004-01-01
7aSjaEi3OQ2aZemcJDhMb1,93 'til Infinity,Souls Of Mischief,jazz,https://i.scdn.co/image/ab67616d0000b27343969ecfe687484121805478,1993-02-13
48kU5gP41TqZEw32Cwhsna,Bizarre Ride II The Pharcyde,The Pharcyde,jazz,https://i.scdn.co/image/ab67616d0000b2739ec4abd35652fafe34ee7dfb,1992-11-24
1kCHru7uhxBUdzkm4gzRQc,Hamilton (Original Broadway Cast Recording),Leslie Odom Jr.,jazz,https://i.scdn.co/image/ab67616d0000b273d72fb5571087bca0a2fed008,2015-09-25
3MXDonOIzrIrCh0HvlACyj,Crazy Love,Michael Buble,jazz,https://i.scdn.co/image/ab67616d0000b273f0cc194252888c6658c706ab,2009-10-06
3FAK4h4t9uV4JxzESXllAU,The Anthology,A Tribe Called Quest,jazz,https://i.scdn.co/image/ab67616d0000b273b1ddb9f5f519e0d37bc94a53,1999-10-26
5wAGlQICfKYQfaBppnUbmP,IV,BADBADNOTGOOD,jazz,https://i.scdn.co/image/ab67616d0000b27340080ed5a2ec3c92bf445247,2016-07-08
7gvxyetkX6vkoMyDkDM6ls,True Genius,Ray Charles,jazz,https://i.scdn.co/image/ab67616d0000b2734448e36a9ef845b705d80a0d,2021-09-10
3ArSFkv4OQOosOvYTrZNIl,Come Away With Me (Super Deluxe Edition),Norah Jones,jazz,https://i.scdn.co/image/ab67616d0000b273c648a42b5dad72c8aafceeec,2002-02-26
3h4pyWRJIB9ZyRKXChbX22,Call Me Irresponsible,Michael Buble,jazz,https://i.scdn.co/image/ab67616d0000b2732ceedc8c879a1f6784fbeef5,2007-04-30
2koUTBXkwUt2uJYv0uezHx,It's Time,Michael Buble,jazz,https://i.scdn.co/image/ab67616d0000b2735d7d966732bd44ac2a13b614,2005-02-07
1p12OAWwudgMqfMzjMvl2a,The Low End Theory,A Tribe Called Quest,jazz,https://i.scdn.co/image/ab67616d0000b273f38c6b37a21334e22005b1f7,1991-09-24
4JkR0RYW5wCohQPke2Kwl2,Easy Dreamin',James Jackson Jazz Trio,jazz,https://i.scdn.co/image/ab67616d0000b273ff759e43750ecb0f6bde3cfa,2022-12-18
4MgtwNYjD89Oj2km6eFRYd,September,"Earth, Wind & Fire",jazz,https://i.scdn.co/image/ab67616d0000b2736e5689a9d09ac1fc2cba2ab0,2018-04-17
1y5KGkUKO0NG32MhIIagCA,"Love, Ella",Ella Fitzgerald,jazz,https://i.scdn.co/image/ab67616d0000b27388ab39d88260598e95ebf5f4,2007-05-03
0FH3WsTCWaDmfpEojJ4sN2,The Love Movement,A Tribe Called Quest,jazz,https://i.scdn.co/image/ab67616d0000b27389202df9fbd69ea49e9efe11,1998-09-29
