album_id,album_name,album_artist,album_genre,album_image,album_release_date
53985D8g3JcGBoULSOYYKX,Seven (feat. Latto),Jung Kook,k-pop,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,2023-07-14
4DKnznk5VbGVvAOYBbQrZJ,3D (feat. Jack Harlow),Jung Kook,k-pop,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5,2023-09-29
4xc3Lc9yASZgEJGH7acWMB,FACE,Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,2023-03-24
5V729UqvhwNOcMejx0m55I,NewJeans 'Super Shy',NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
639nejcoHHwxJCKqr35ww2,Like Crazy (Remixes),Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b273f9638e7ed5b7d42e9c514195,2023-03-26
5letLUZIFsQikJYShfGNs4,The Beginning: Cupid,FIFTY FIFTY,k-pop,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,2023-02-24
4N1fROq2oeyLGAlQ1C1j18,NewJeans 2nd EP 'Get Up',NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,2023-07-21
4xc3Lc9yASZgEJGH7acWMB,FACE,Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,2023-03-24
45ozep8uHHnj5CCittuyXj,NewJeans 'OMG',NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,2023-01-02
53985D8g3JcGBoULSOYYKX,Seven (feat. Latto),Jung Kook,k-pop,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,2023-07-14
5V729UqvhwNOcMejx0m55I,NewJeans 'Super Shy',NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
4N1fROq2oeyLGAlQ1C1j18,NewJeans 2nd EP 'Get Up',NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,2023-07-21
7bnqo1fdJU9nSfXQd3bSMe,Ditto,NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b273edf5b257be1d6593e81bb45f,2022-12-19
1Vzh3fTdh0R0evafCcpNpL,JENNIE Special Single [You & Me],JENNIE,k-pop,https://i.scdn.co/image/ab67616d0000b2738cd1023ed6ec97598937d55c,2023-10-06
3Pel3gWsPxVpZVrciU0Fm6,5-STAR,Stray Kids,k-pop,https://i.scdn.co/image/ab67616d0000b273e27ba26bc14a563bf3d09882,2023-06-02
0fJ0beklzFwoBv01U8792s,3D : The Remixes,Jung Kook,k-pop,https://i.scdn.co/image/ab67616d0000b27399583bb32b47e87d55c6064b,2023-10-02
7q65W5gVANjh1j1KXLeU0f,DARK BLOOD,ENHYPEN,k-pop,https://i.scdn.co/image/ab67616d0000b2731d03b5e88cee6870778a4d27,2023-05-22
1HMLpmZAnNyl9pxvOnTovV,NewJeans 1st EP 'New Jeans',NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,2022-08-01
4N1fROq2oeyLGAlQ1C1j18,NewJeans 2nd EP 'Get Up',NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,2023-07-21
2eE8BVirX9VF8Di9hD90iw,Come Home The Kids Miss You,Jack Harlow,k-pop,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,2022-05-06
5zhfCotijpaEJfQNVAC8mV,Back for More (with Anitta),TOMORROW X TOGETHER,k-pop,https://i.scdn.co/image/ab67616d0000b273120b1c20ac6c8ff9452ee4d8,2023-09-15
4R3ERcDOQP7o1Lkok2uO7E,summer flows 0.02,wave to earth,k-pop,https://i.scdn.co/image/ab67616d0000b273c091fe6573f073f2e31b249f,2020-08-04
3PQZnr5gf699uYEaGH93uG,I feel,(G)I-DLE,k-pop,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616,2023-05-15
