album_id,album_name,album_artist,album_genre,album_image,album_release_date
7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",k-pop,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,2023-07-14
6ehWdR7cGDXnT7aKEASJxE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",k-pop,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5,2023-09-29
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,2023-03-24
5sdQOyqq2IDhvmx2lHOpwd,Super Shy,NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
58BWnoFDNaeM0vwA0K3fqb,Like Crazy,Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b273f9638e7ed5b7d42e9c514195,2023-03-26
7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,FIFTY FIFTY,k-pop,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,2023-02-24
56v8WEnGzLByGsDAXDiv4d,ETA,NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,2023-07-21
0u8rZGtXJrLtiSe34FPjGG,Like Crazy (English Version),Jimin,k-pop,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,2023-03-24
65FftemJ1DbbZ45DUfHJXE,OMG,NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,2023-01-02
5Avril3IZ26DPVFHbJX8o6,Seven (feat. Latto) (Clean Ver.),"Jung Kook, Latto",k-pop,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,2023-07-14
6rdkCkjk6D12xRpdMXy0I2,New Jeans,NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,2023-07-07
02wk5BttM0QL38ERjLPQJB,Cool With You,NewJeans,k-pop,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,2023-07-21
