album_id,album_name,album_artist,album_genre,album_image,album_release_date
7ABLbnD53cQK00mhcaOUVG,LALA,Myke Towers,latin,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,2023-03-23
4MjDJD8cW7iVeWInc2Bdyj,MONACO,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
63ui2w3QJBp8xx0c1MJB2Z,UN PREVIEW,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b273c1156c6f6dedd4b9bdf89428,2023-09-25
3nNmRE0DxHC6ZaKkrpUumS,FINA,"Bad Bunny, Young Miko",latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
5RqSsdzTNPX1uzkmlHCFvK,QLONA,"KAROL G, Peso Pluma",latin,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03,2023-08-10
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,"Bad Bunny, Chencho Corleone",latin,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-05-06
7iQXYTyuG13aoeHxGG28Nh,PERRO NEGRO,"Bad Bunny, Feid",latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
4qSEvFGCpde73gqIuq3sho,HIBIKI,"Bad Bunny, Mora",latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
3XB5uhhlYSnkxpSihkNQwh,QLONA,"KAROL G, Peso Pluma",latin,https://i.scdn.co/image/ab67616d0000b2734a8c1bbd60d89887c5016245,2023-08-11
23d8v6tU6lR77pFKsApMtF,NADIE SABE,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
1ODFVLQszq0hCOdZtqV5wq,MR. OCTOBER,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
5AqiaZwhmC6dIbgWrD5SzV,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",latin,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,2023-06-01
4Jc7252S1P99DjQ1lNGEOc,CYBERTRUCK,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
6XSqqQIy7Lm7SnwxS4NrGx,Classy 101,"Feid, Young Miko",latin,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,2023-03-31
6XbtvPmIpyCbjuT0e8cQtp,Columbia,Quevedo,latin,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,2023-07-07
505v13epFXodT9fVAJ6h8k,AMARGURA,KAROL G,latin,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,2023-02-24
3NhstUmrlhaN1M6hP8zMbb,BABY NUEVA,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
01ppKlDRCmPpusO3yNrSRY,TELEFONO NUEVO,"Bad Bunny, Luar La L",latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
1YnChEM51BVZ5dRhbVFEMl,SEDA,"Bad Bunny, Bryant Myers",latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
1IHWl5LamUGEuP4ozKQSXZ,Titi Me Pregunto,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-05-06
0rDQZJtSGgsB2rdkObpdFa,VOU 787,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
1U3A66OHQyTu4N2QTMsP86,GRACIAS POR NADA,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
4eMKD8MRroxCqugpsxCCNb,MOJABI GHOST,"Tainy, Bad Bunny",latin,https://i.scdn.co/image/ab67616d0000b273de7b9af78fbdda96c5a0635b,2023-06-29
0DWdj2oZMBFSzRsi2Cvfzf,TQG,"KAROL G, Shakira",latin,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,2023-02-24
3TYOH7ta0101NYssoH5GlU,MERCEDES CAROTA,"Bad Bunny, YOVNGCHIMI",latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
7ucEkWU0SVy0XFdfXESgfY,LOS PITS,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
39L3LdlHS3gqB62HPWaJRg,NO ME QUIERO CASAR,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
3mRF0YNsDdFKFnxwg16hSz,VUELVE CANDY B,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
5qzLdvRViHUrRNdkpakG7C,BATICANO,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
4pcafPzLDSqQktqSpxHL3E,THUNDER Y LIGHTNING,"Bad Bunny, Eladio Carrion",latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
2gam98EZKrF9XuOkU13ApN,Promiscuous,"Nelly Furtado, Timbaland",latin,https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2,2006-01-01
1C7lXfx4Y5maVl4AgUVlHA,ACHO PR,"Bad Bunny, Arcangel, De La Ghetto, Nengo Flow",latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
2hn2zOA2XFlv6DSmesylrL,QUEMA,"Ryan Castro, Peso Pluma, SOG",latin,https://i.scdn.co/image/ab67616d0000b2734cb950c91f7b0c8414dcc88e,2023-07-13
6fNCrsrdIcgVd2aZZ0nnz4,Segun Quien,"Maluma, Carin Leon",latin,https://i.scdn.co/image/ab67616d0000b273c7f92bd1fb25981c78519d6b,2023-08-17
5Eax0qFko2dh7Rl2lYs3bx,Efecto,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-05-06
1kwPxt35W7cG3rryxR48PO,Johnny Dang (with Paul Wall & DRODi),"That Mexican OT, Paul Wall, DRODi",latin,https://i.scdn.co/image/ab67616d0000b273a91cd0c87b5ee596189b8aa8,2023-05-26
5ixdmTpCmH5diBA1j154wN,UN PREVIEW,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b2737b1fc51ff3257b5286a1ecec,2023-10-13
5RcxRGvmYai7kpFSfxe5GY,CHANEL,"Becky G, Peso Pluma",latin,https://i.scdn.co/image/ab67616d0000b273c3bb167f0e78b15e5588c296,2023-03-30
3k3NWokhRRkEPhCzPmV8TW,Ojitos Lindos,"Bad Bunny, Bomba Estereo",latin,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-05-06
54zcJnb3tp9c5OVKREZ1Is,MI EX TENIA RAZON,KAROL G,latin,https://i.scdn.co/image/ab67616d0000b273d026bf9d7780f6a1267b4d03,2023-08-10
7uSLF2yhpjLlYBLtyPX3Lb,PLEBADA,"El Alfa, Peso Pluma",latin,https://i.scdn.co/image/ab67616d0000b273aaa6b5e698d4a6cfd9cd58fb,2023-06-08
0fea68AdmYNygeTGI4RC18,LA CANCION,"J Balvin, Bad Bunny",latin,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb,2019-06-28
6irysuQyZWd7Bjj7ePiOs2,Holanda,Jhayco,latin,https://i.scdn.co/image/ab67616d0000b273cd2ceb6adaa32ecc83cec5c3,2023-07-28
0PB0O24JqAuNdOAFVJljMS,Coco Chanel,"Eladio Carrion, Bad Bunny",latin,https://i.scdn.co/image/ab67616d0000b273fc8563c0dc75d79e73c2dca0,2023-03-17
601dhwn8qc31FrSlMu5wEf,OKI DOKI,KAROL G,latin,https://i.scdn.co/image/ab67616d0000b2734a8c1bbd60d89887c5016245,2023-08-11
3HqcNJdZ2seoGxhn0wVNDK,PROVENZA,KAROL G,latin,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,2023-02-24
6Xom58OOXk2SoU711L2IXO,Moscow Mule,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-05-06
5wjsJIUf6pdrwauPDae43o,El Jefe,"Shakira, Fuerza Regida",latin,https://i.scdn.co/image/ab67616d0000b2731e45888bd125c016dbe319aa,2023-09-20
7mLPSkAJraASgNk6ywyTkp,MI EX TENIA RAZON,KAROL G,latin,https://i.scdn.co/image/ab67616d0000b2734a8c1bbd60d89887c5016245,2023-08-11
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean",latin,https://i.scdn.co/image/ab67616d0000b27327ddd747545c0d0cfe7595fa,2005-11-28
1zsPaEkglFvxjAhrM8yhpr,Hey Mor,"Ozuna, Feid",latin,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45,2022-10-07
2beS6dD5rovBxSA1zYoSHR,No Me Conoce - Remix,"Jhayco, J Balvin, Bad Bunny",latin,https://i.scdn.co/image/ab67616d0000b273614b5974ec6e23185462700b,2019-05-24
54ELExv56KCAB4UP9cOCzC,Gato de Noche,"Nengo Flow, Bad Bunny",latin,https://i.scdn.co/image/ab67616d0000b273ed132404686f567c8f793058,2022-12-22
4wH4dJgrsxONID6KS2tDQM,Maneater,Nelly Furtado,latin,https://i.scdn.co/image/ab67616d0000b273a6f439c8957170652f9410e2,2006-01-01
609E1JCInJncactoMmkDon,BESO,"ROSALIA, Rauw Alejandro",latin,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1,2023-03-24
0J9g1MMJDhyvOb3NWckHMm,Chulo pt.2,"Bad Gyal, Tokischa, Young Miko",latin,https://i.scdn.co/image/ab67616d0000b2730d45a19d3b38fb1a0be40e3a,2023-06-22
69Ej1xrGjOcHvIMtMKxK0G,Dile,Don Omar,latin,https://i.scdn.co/image/ab67616d0000b273b4070df60fced11f282548d0,2003-01-01
7FlQk2gJ6TBrHHiidvdR2O,MAMIII,"Becky G, KAROL G",latin,https://i.scdn.co/image/ab67616d0000b273518859dcb13382116f450073,2022-05-13
4PA1wK0leCjmRZlP5dQ8Lv,El Cielo,"Sky Rompiendo, Feid, Myke Towers",latin,https://i.scdn.co/image/ab67616d0000b27306eccb4893fa58ae311c45ea,2023-06-02
228BxWXUYQPJrJYHDLOHkj,Gasolina,Daddy Yankee,latin,https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c,2004-07-13
31i56LZnwE6uSu3exoHjtB,Neverita,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-05-06
4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,"KAROL G, Romeo Santos",latin,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,2023-02-24
2tTmW7RDtMQtBk7m2rYeSw,"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",latin,https://i.scdn.co/image/ab67616d0000b2731630dd349221a35ce03a0ccf,2022-07-06
4iGQ8o9Ih6J1OuDDGCXSCL,DISPO,"KAROL G, Young Miko",latin,https://i.scdn.co/image/ab67616d0000b2734a8c1bbd60d89887c5016245,2023-08-11
6XEt23sq6sRgER8sSZbCR5,Johnny Dang (with Paul Wall & DRODi),"That Mexican OT, Paul Wall, DRODi",latin,https://i.scdn.co/image/ab67616d0000b2732c1cf5576a9020a191c8d20f,2023-07-28
6ejks4eS7DOoYW8hrpRcDV,UNA NOCHE EN MEDELLIN - REMIX,"KAROL G, Cris Mj, Ryan Castro",latin,https://i.scdn.co/image/ab67616d0000b2734a8c1bbd60d89887c5016245,2023-08-11
2JPLbjOn0wPCngEot2STUS,Yonaguni,Bad Bunny,latin,https://i.scdn.co/image/ab67616d0000b27364afd6879102d03460bd3ad9,2021-06-04
4nrPB8O7Y7wsOCJdgXkthe,"Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap, Shakira",latin,https://i.scdn.co/image/ab67616d0000b2732b6d78c5a3f6247aa997b812,2023-01-11
7JwdbqIpiuWvGbRryKSuBz,Es un Secreto,Plan B,latin,https://i.scdn.co/image/ab67616d0000b273913ef74e0272d688c512200b,2010-07-20
7EpOXgSRgnglRWr86pZfGU,S91,KAROL G,latin,https://i.scdn.co/image/ab67616d0000b273890cfb712167a0186918644e,2023-07-14
4tYFy8ALRjIZvnvSLw5lxN,Party,"Bad Bunny, Rauw Alejandro",latin,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,2022-05-06
6tiYQ631gOeBb2jCtaIs0R,Hit List (with BigXthaPlug & Big Yavo),"That Mexican OT, BigXthaPlug, Big Yavo",latin,https://i.scdn.co/image/ab67616d0000b2732c1cf5576a9020a191c8d20f,2023-07-28
5SGWCqheDXPlYnv9aQs795,Cowboy Killer,That Mexican OT,latin,https://i.scdn.co/image/ab67616d0000b2732c1cf5576a9020a191c8d20f,2023-07-28
26QKsGW4hMuwiEE1ftUMHe,"Lo Que Paso, Paso",Daddy Yankee,latin,https://i.scdn.co/image/ab67616d0000b2736bdcdf82ecce36bff808a40c,2004-07-13
5YJ4BVvTFmVCxUyhKejHfR,Pa' Que Retozen,Tego Calderon,latin,https://i.scdn.co/image/ab67616d0000b27372b621a4c23f797307d35f11,2003-07-01
