album_id,album_name,album_artist,album_genre,album_image,album_release_date
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,rock,https://i.scdn.co/image/ab67616d0000b2738265a736a1eb838ad5a0b921,2013-04-19
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,rock,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b,1977-02-04
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,rock,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,2013-09-09
58ge6dfP91o9oXMzq3XkIS,505,Arctic Monkeys,rock,https://i.scdn.co/image/ab67616d0000b2730c8ac83035e9588e8ad34b90,2007-04-24
5UWwZ5lm5PKu6eKsHAGxOk,Everlong,Foo Fighters,rock,https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b,1997-05-20
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,rock,https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d,2004-06-04
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,rock,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95,1993-02-22
086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High?,Arctic Monkeys,rock,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,2013-09-09
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,rock,https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5,1969-11-02
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,OneRepublic,rock,https://i.scdn.co/image/ab67616d0000b273ec96e006b8bdfc582610ec13,2022-05-13
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,rock,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,2015-07-17
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,Arctic Monkeys,rock,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,2013-09-09
6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,rock,https://i.scdn.co/image/ab67616d0000b27395d1d98c5176e4f982bd73d6,2001-07-17
